janitza_id,serial_number,type_display_name,janitza_name,type,description,connection_string
1,7001-3861,UMG 604  ,ALT11A,JanitzaUMG604,Althen UGS 20kV,TCP IP Adresse: 10.60.0.81
2,2200-0561,UMG 508  ,ANG11A,JanitzaUMG508,Angermünde ÜG01 20KV,TCP IP Adresse: 10.32.8.1
7,7001-3527,UMG 604  ,BRF11A,JanitzaUMG604,Breitenfeld UGS 20kV,TCP IP Adresse: 10.164.0.81
8,7000-8948,UMG 604  ,COB11A,JanitzaUMG604,Cottbus UGS 20 kV,TCP IP Adresse: 10.162.0.81
9,7001-0917,UMG 604  ,DEL41Z,JanitzaUMG604,Delitzsch UW 110kV,TCP IP Adresse: 10.40.0.81
11,7000-6976,UMG 604  ,GAH11A,JanitzaUMG604,Gahro UGS 20kV,TCP IP Adresse: 10.231.36.84
12,7000-6974,UMG 604  ,GAH11B,JanitzaUMG604,Gahro UGS 20kV,TCP IP Adresse: 10.231.36.85
13,7000-5811,UMG 604  ,GAH11C,JanitzaUMG604,Gahro UGS 20kV,TCP IP Adresse: 10.231.36.86
14,7000-6966,UMG 604  ,GAH11D,JanitzaUMG604,Gahro UGS 20kV,TCP IP Adresse: 10.231.36.87
15,7000-5812,UMG 604  ,GAH11E,JanitzaUMG604,Gahro UGS 20kV,TCP IP Adresse: 10.231.36.83
16,7000-6196,UMG 604  ,GGT11A,JanitzaUMG604,Grossengottern UGS 20kV,TCP IP Adresse: 10.195.0.81
17,7000-6086,UMG 604  ,HDF11A,JanitzaUMG604,Heinersdorf Floessberg UGS 20kV,TCP IP Adresse: 10.184.0.82
18,7000-7928,UMG 604  ,HDF12A,JanitzaUMG604,Heinersdorf Kitzscher UGS 20kV,TCP IP Adresse: 10.184.0.81
19,7001-0918,UMG 604  ,KLA11A,JanitzaUMG604,Kleinaitingen UGS 20kV,TCP IP Adresse: 10.232.200.81
20,7000-6197,UMG 604  ,KLT11A,JanitzaUMG604,Klettbach UGS 20kV,TCP IP Adresse: 10.231.52.81
21,7001-0885,UMG 604  ,KOD11A,JanitzaUMG604,Kodersdorf UGS 20kV,TCP IP Adresse: 10.107.0.81
22,7000-8344,UMG 604  ,Köthen INV 01.01,JanitzaUMG604,Janitza UMG 604,TCP IP Adresse: 10.197.0.81
23,7001-3858,UMG 604  ,MOK11A,JanitzaUMG604,Mockritz Obergoseln UGS 20kV,TCP IP Adresse: 10.92.0.81
24,7001-3859,UMG 604  ,MOK12A,JanitzaUMG604,Mockritz Mockritz UGS 20kV,TCP IP Adresse: 10.92.0.82
25,7000-8517,UMG 604  ,NIE41Z,JanitzaUMG604,Niemberg OPI,TCP IP Adresse: 10.82.0.81
26,7001-6677,UMG 604  ,NRU11A,JanitzaUMG604,Neuruppin ÜST1 15 kV,TCP IP Adresse: 10.76.0.81
27,7002-0226,UMG 604  ,NRU12A,JanitzaUMG604,Neuruppin ÜST2 15kV,TCP IP Adresse: 10.76.0.82
28,7002-0227,UMG 604  ,NRU13A,JanitzaUMG604,Neuruppin ÜST3 15kV,TCP IP Adresse: 10.76.0.83
29,7001-9171,UMG 604  ,NRU14A,JanitzaUMG604,Neuruppin ÜST4 15 kV,TCP IP Adresse: 10.76.0.84
30,7001-9172,UMG 604  ,NRU15A,JanitzaUMG604,Neuruppin ÜST5 15 kV,TCP IP Adresse: 10.76.0.85
31,7000-8946,UMG 604  ,OBU11A,JanitzaUMG604,Oranienburg Nord UGS 20kV,TCP IP Adresse: 10.77.0.81
32,7000-8949,UMG 604  ,OBU11B,JanitzaUMG604,Oranienburg Sued UGS 20kV,TCP IP Adresse: 10.77.0.82
33,7001-1362,UMG 604  ,PAT12A,JanitzaUMG604,Panitzsch UGS 20kV,TCP IP Adresse: 10.62.0.81
34,7001-3409,UMG 604  ,PAT11A,JanitzaUMG604,Panitzsch_Borsdorf UGS 20kV,TCP IP Adresse: 10.62.0.82
35,7001-2878,UMG 604  ,RAK11A,JanitzaUMG604,Rackwitz ÜGST01 20KV,TCP IP Adresse: 10.61.0.81
36,7001-5494,UMG 604  ,RAK12A,JanitzaUMG604,Rackwitz ÜGST02 20KV ,TCP IP Adresse: 10.61.0.82
