benchmark,extract,transform,load,total
2025-01-01,0.144293,0.022313,0.910918,1.077524
2025-01-02,0.114554,0.008875,12.440956,12.564385
2025-01-03,0.105932,0.009491,11.681286,11.796709
2025-01-04,0.110945,0.009216,12.099658,12.219819
2025-01-05,0.136056,0.017618,12.270748,12.424422
2025-01-06,0.103996,0.007618,10.854917,10.966531
2025-01-07,0.131559,0.007507,11.114148,11.253214
2025-01-08,0.123071,0.009352,11.402137,11.534560
2025-01-09,0.116617,0.008774,10.539787,10.665178
2025-01-10,0.107215,0.007280,10.661844,10.776339
2025-01-11,0.130430,0.009151,10.874278,11.013859
2025-01-12,0.112489,0.007793,10.480468,10.600750
2025-01-13,0.134985,0.007466,10.989075,11.131526
2025-01-14,0.119595,0.007906,11.437895,11.565396
2025-01-15,0.129081,0.009917,10.747916,10.886914
2025-01-16,0.101863,0.007860,10.597737,10.707460
2025-01-17,0.116274,0.008022,10.582006,10.706302
2025-01-18,0.108963,0.007789,10.600757,10.717509
2025-01-19,0.130286,0.009990,10.563960,10.704236
2025-01-20,0.122998,0.008272,11.135340,11.266610
2025-01-21,0.133037,0.007398,11.206426,11.346861
2025-01-22,0.124917,0.007463,10.468594,10.600974
2025-01-23,0.114559,0.008135,10.505115,10.627809
2025-01-24,0.114013,0.007993,11.171023,11.293029
2025-01-25,0.136581,0.008109,10.598162,10.742852
2025-01-26,0.128823,0.007280,11.100198,11.236301
2025-01-27,0.118492,0.008103,13.612072,13.738667
2025-01-28,0.124389,0.009294,11.852532,11.986215
2025-01-29,0.137747,0.010739,15.541244,15.689730
2025-01-30,0.137054,0.009953,11.505355,11.652362
2025-01-31,0.117606,0.016498,20.728719,20.862823
2025-02-01,0.373452,0.058665,14.110245,14.542362
2025-02-02,0.119976,0.010122,12.920420,13.050518
2025-02-03,0.139202,0.010817,12.621392,12.771411
2025-02-04,0.129654,0.010065,11.390412,11.530131
2025-02-05,0.127981,0.014645,11.377586,11.520212
2025-02-06,0.122685,0.007524,11.847400,11.977609
2025-02-07,0.122852,0.009786,11.086126,11.218764
2025-02-08,0.112984,0.008175,11.282971,11.404130
2025-02-09,0.128963,0.008304,12.009286,12.146553
2025-02-10,0.120450,0.007922,10.990758,11.119130
2025-02-11,0.109945,0.008333,11.120567,11.238845
2025-02-12,0.123480,0.008721,10.497705,10.629906
2025-02-13,0.131742,0.007873,10.942759,11.082374
2025-02-14,0.113527,0.007924,11.007360,11.128811
2025-02-15,0.135268,0.007567,10.897488,11.040323
2025-02-16,0.120577,0.007206,11.000926,11.128709
2025-02-17,0.112279,0.007505,10.873927,10.993711
2025-02-18,0.114296,0.008926,11.102256,11.225478
2025-02-19,0.121709,0.007780,11.373335,11.502824
2025-02-20,0.121744,0.007410,11.013152,11.142306
2025-02-21,0.138246,0.008551,10.726149,10.872946
2025-02-22,0.107648,0.008217,10.867997,10.983862
2025-02-23,0.110945,0.008155,10.989818,11.108918
2025-02-24,0.102027,0.008245,10.625411,10.735683
2025-02-25,0.116379,0.007919,11.213514,11.337812
2025-02-26,0.111987,0.007891,11.298731,11.418609
2025-02-27,0.138124,0.007515,10.690418,10.836057
2025-02-28,0.118302,0.007277,11.288931,11.414510
2025-03-01,0.119714,0.008292,11.549034,11.677040
2025-03-02,0.118840,0.009170,10.975300,11.103310
2025-03-03,0.134204,0.007896,10.492783,10.634883
2025-03-04,0.113491,0.008014,11.421694,11.543199
2025-03-05,0.137901,0.007721,11.039792,11.185414
2025-03-06,0.133723,0.007367,11.133181,11.274271
2025-03-07,0.112421,0.009019,11.062320,11.183760
2025-03-08,0.114054,0.007444,10.629417,10.750915
2025-03-09,0.126754,0.007337,11.133253,11.267344
2025-03-10,0.117759,0.007317,10.308667,10.433743
2025-03-11,0.134529,0.007728,11.001596,11.143853
2025-03-12,0.119966,0.007371,10.922112,11.049449
2025-03-13,0.125481,0.007891,10.621619,10.754991
2025-03-14,0.120178,0.007851,11.265481,11.393510
2025-03-15,0.113817,0.007833,10.584101,10.705751
2025-03-16,0.124441,0.007540,11.347757,11.479738
2025-03-17,0.124415,0.007868,10.724732,10.857015
2025-03-18,0.122631,0.007763,11.247688,11.378082
2025-03-19,0.127413,0.008110,11.269881,11.405404
2025-03-20,0.118207,0.007917,11.221580,11.347704
2025-03-21,0.120880,0.008498,11.011515,11.140893
2025-03-22,0.113341,0.007282,10.897264,11.017887
2025-03-23,0.133476,0.007718,11.015887,11.157081
2025-03-24,0.115542,0.007870,11.159320,11.282732
2025-03-25,0.156872,0.008989,11.539095,11.704956
2025-03-26,0.116084,0.007372,10.966754,11.090210
2025-03-27,0.126219,0.007266,11.024232,11.157717
