benchmark,extract,transform,load,total
2025-01-01,0.139966,0.008778,2.152794,2.301538
2025-01-02,1.117463,0.008990,11.554044,12.680497
2025-01-03,0.117527,0.012410,11.512599,11.642536
2025-01-04,0.123204,0.008790,11.223694,11.355688
2025-01-05,0.119996,0.009494,11.564681,11.694171
2025-01-06,0.121818,0.010250,12.205400,12.337468
2025-01-07,0.149433,0.010396,11.292601,11.452430
2025-01-08,0.122717,0.009398,12.177971,12.310086
2025-01-09,0.137339,0.009207,11.610793,11.757339
2025-01-10,0.110817,0.009231,11.416033,11.536081
