benchmark,extract,transform,load,total
2025-01-01,0.131460,0.008625,2.198968,2.339053
2025-01-02,0.114593,0.008679,12.160826,12.284098
2025-01-03,0.111587,0.009738,11.241156,11.362481
2025-01-04,0.124097,0.009515,11.952199,12.085811
2025-01-05,0.126293,0.009033,12.898389,13.033715
2025-01-06,0.124326,0.009090,11.480275,11.613691
2025-01-07,0.146999,0.009307,11.326878,11.483184
2025-01-08,0.119371,0.008751,11.789233,11.917355
2025-01-09,0.122000,0.008907,11.355972,11.486879
2025-01-10,0.131946,0.009372,11.670899,11.812217
