benchmark,extract,transform,load,total
2025-01-01,0.142269,0.009118,2.551983,2.703370
2025-01-02,0.115020,0.011173,11.445048,11.571241
2025-01-03,0.109792,0.009002,11.977986,12.096780
2025-01-04,0.128322,0.008873,11.699502,11.836697
2025-01-05,0.119313,0.009569,11.521350,11.650232
2025-01-06,0.116261,0.007985,11.788701,11.912947
2025-01-07,0.138071,0.008875,11.596112,11.743058
2025-01-08,0.122761,0.009960,11.192599,11.325320
2025-01-09,0.122835,0.008812,11.707873,11.839520
2025-01-10,0.117609,0.008654,11.667483,11.793746
