benchmark,extract,transform,load,total
2025-01-01,0.137111,0.009030,2.125509,2.271650
2025-01-02,0.114299,0.009860,11.454508,11.578667
2025-01-03,0.106792,0.009019,11.799849,11.915660
2025-01-04,0.135496,0.009474,11.759024,11.903994
2025-01-05,0.123729,0.008715,12.531250,12.663694
2025-01-06,0.149532,0.011712,12.202800,12.364044
2025-01-07,0.143031,0.009230,14.492732,14.644993
2025-01-08,0.128922,0.009227,12.274783,12.412932
2025-01-09,0.119006,0.008605,11.673327,11.800938
2025-01-10,0.135545,0.008710,11.338139,11.482394
