benchmark,extract,transform,load,total
2025-01-01,1.421994,0.012239,16.289898,17.724131
2025-01-02,1.379069,0.013489,26.059613,27.452171
2025-01-03,1.416638,0.012327,25.262176,26.691141
2025-01-04,1.354943,0.009192,25.694044,27.058179
2025-01-05,1.603415,0.012057,26.100043,27.715515
2025-01-06,1.329577,0.012466,25.127373,26.469416
2025-01-07,1.332672,0.015514,26.750631,28.098817
2025-01-08,1.694140,0.009396,25.988583,27.692119
2025-01-09,1.322419,0.009944,25.793222,27.125585
2025-01-10,1.346342,0.010721,26.554400,27.911463
