benchmark,extract,transform,load,total
2025-01-01,1.341223,0.008294,18.091988,19.441505
2025-01-02,1.381241,0.010610,26.226603,27.618454
2025-01-03,1.371059,0.009389,25.997097,27.377545
2025-01-04,1.436897,0.008908,26.650290,28.096095
2025-01-05,1.442289,0.012449,26.865620,28.320358
2025-01-06,1.413602,0.009522,26.951707,28.374831
2025-01-07,1.385877,0.009470,26.820409,28.215756
2025-01-08,1.425774,0.009688,28.583834,30.019296
2025-01-09,1.428781,0.008956,26.867009,28.304746
2025-01-10,1.516060,0.010826,28.550536,30.077422
