benchmark,extract,transform,load,total
2025-01-01,1.532765,0.009138,17.394268,18.936171
2025-01-02,1.490356,0.009328,27.844774,29.344458
2025-01-03,1.636955,0.009689,27.047384,28.694028
2025-01-04,1.496311,0.010361,27.230218,28.736890
2025-01-05,1.350193,0.008512,26.836576,28.195281
2025-01-06,1.382386,0.009190,26.743845,28.135421
2025-01-07,1.494821,0.008844,26.363658,27.867323
2025-01-08,1.469192,0.009892,26.268175,27.747259
2025-01-09,1.420674,0.008327,26.884056,28.313057
2025-01-10,1.455682,0.010140,26.459772,27.925594
