benchmark,extract,transform,load,total
2025-01-01,1.332956,0.008914,18.541468,19.883338
2025-01-02,1.350388,0.009299,25.954198,27.313885
2025-01-03,1.381543,0.014752,25.594805,26.991100
2025-01-04,1.453886,0.007798,25.379709,26.841393
2025-01-05,1.371305,0.014203,25.201190,26.586698
2025-01-06,1.344632,0.008608,25.182966,26.536206
2025-01-07,1.326042,0.009336,25.464777,26.800155
2025-01-08,1.400799,0.008714,25.271306,26.680819
2025-01-09,1.316335,0.010063,25.245476,26.571874
2025-01-10,1.314884,0.009053,25.287936,26.611873
