benchmark,extract,transform,load,total
2025-01-01,1.360995,0.013030,15.802913,17.176938
2025-01-02,1.379377,0.008590,26.707183,28.095150
2025-01-03,1.368409,0.008742,24.999285,26.376436
2025-01-04,1.271228,0.010418,25.030013,26.311659
2025-01-05,1.391254,0.015665,25.656452,27.063371
2025-01-06,1.355287,0.010909,25.068791,26.434987
2025-01-07,1.384120,0.009153,24.918065,26.311338
2025-01-08,1.360810,0.010984,25.143629,26.515423
2025-01-09,1.415100,0.008649,25.848297,27.272046
2025-01-10,1.434433,0.018007,25.624318,27.076758
