benchmark,extract,transform,load,total
2025-01-01,0.311283,0.071241,2.209500,2.592024
2025-01-02,0.773040,0.047562,2.037233,2.857835
2025-01-03,5.918573,1.392716,36.821494,44.132783
2025-01-04,5.818448,1.448622,37.459147,44.726217
2025-01-05,6.106784,0.021074,37.906091,44.033949
2025-01-06,5.283798,0.389682,31.088768,36.762248
2025-01-07,10.136733,0.560079,33.621346,44.318158
2025-01-08,10.801230,0.450819,34.078463,45.330512
2025-01-09,7.934017,0.913353,36.175184,45.022554
2025-01-10,7.827547,1.114963,41.537601,50.480111
