benchmark,extract,transform,load,total
2025-01-01,0.260475,0.064079,3.097867,3.422421
2025-01-02,1.169860,0.015579,16.698686,17.884125
2025-01-03,19.657890,2.365611,17.796888,39.820389
2025-01-04,12.426040,2.041730,29.190341,43.658111
2025-01-05,8.840454,2.079646,32.099384,43.019484
2025-01-06,10.773135,2.483613,31.388291,44.645039
2025-01-07,7.994400,3.234101,30.708596,41.937097
2025-01-08,9.140252,2.777321,30.061403,41.978976
2025-01-09,10.026153,1.525701,29.725399,41.277253
2025-01-10,8.231779,1.326611,34.341506,43.899896
