benchmark,extract,transform,load,total
2025-01-01,0.335699,0.047799,2.395261,2.778759
2025-01-02,0.587127,0.027636,2.223096,2.837859
2025-01-03,5.952109,1.182655,41.298474,48.433238
2025-01-04,4.435385,1.456425,40.652843,46.544653
2025-01-05,7.529108,1.760486,36.852867,46.142461
2025-01-06,10.798657,2.548985,31.716288,45.063930
2025-01-07,8.893515,3.105637,30.017151,42.016303
2025-01-08,7.917178,1.559175,31.210271,40.686624
2025-01-09,10.665177,1.686977,32.050348,44.402502
2025-01-10,10.488017,2.735976,29.290884,42.514877
