benchmark,extract,transform,load,total
2025-01-01,0.330092,0.060303,3.035774,3.426169
2025-01-02,1.187124,0.010729,1.742174,2.940027
2025-01-03,4.595407,0.543120,36.577995,41.716522
2025-01-04,5.000637,1.238138,32.578347,38.817122
2025-01-05,8.597056,0.948469,31.013302,40.558827
2025-01-06,12.219284,1.326113,27.302719,40.848116
2025-01-07,8.400844,1.333411,28.655132,38.389387
2025-01-08,7.268392,2.149826,34.465200,43.883418
2025-01-09,6.384626,2.636095,34.511842,43.532563
2025-01-10,11.126750,1.747899,35.753842,48.628491
