benchmark,extract,transform,load,total
2025-01-01,0.306777,0.053711,1.914889,2.275377
2025-01-02,1.104651,0.028701,1.836000,2.969352
2025-01-03,6.002749,1.361039,37.467077,44.830865
2025-01-04,6.502072,0.544214,40.967767,48.014053
2025-01-05,5.418427,0.823827,36.801719,43.043973
2025-01-06,4.006032,1.247368,33.858720,39.112120
2025-01-07,6.387621,1.130652,30.757495,38.275768
2025-01-08,9.133150,1.201342,27.820390,38.154882
2025-01-09,11.407092,1.440660,35.566967,48.414719
2025-01-10,8.775548,0.256763,39.554904,48.587215
