janitza_name,extract,transform,load,total
LEW_AUX__Trafostation,0.276114,0.007917,0.347991,0.632022
BIS21A,0.247407,0.008462,0.370687,0.626556
EIS11A,0.257475,0.007431,0.321301,0.586207
LGB11A,0.252292,0.007235,0.324328,0.583855
DOR211A,0.222934,0.007733,0.360956,0.591623
WFL11A,0.257531,0.008457,0.331903,0.597891
KZS0141C,0.257350,0.007357,0.309393,0.574100
GDL21A,0.248467,0.009672,0.329349,0.587488
MOD11A,0.247121,0.008259,0.330029,0.585409
CAF41A,0.263814,0.010162,0.337119,0.611095
LIB11A,0.574582,0.007850,0.318012,0.900444
JAR41A,0.255626,0.007030,0.327118,0.589774
GUS11A,0.271513,0.006747,0.335744,0.614004
SDD41B,0.257952,0.006634,0.327518,0.592104
DRO41A,0.236417,0.006983,0.355651,0.599051
LET41A,0.256386,0.007439,0.335184,0.599009
UND41A,0.257258,0.007378,0.346948,0.611584
ZWO11A,0.603489,0.008041,0.338459,0.949989
SAE11A,0.264051,0.007009,0.369104,0.640164
FIK11A,0.265231,0.006963,0.286667,0.558861
HBH11A,0.252837,0.007794,0.352983,0.613614
LOZ11A,0.238852,0.007961,0.297161,0.543974
HIL41A,0.260187,0.007077,0.348725,0.615989
TPN11A,0.269580,0.006498,0.306737,0.582815
DUH11A,0.249526,0.007313,0.338146,0.594985
Eggesin03,0.216881,0.006565,0.326045,0.549491
GOZ11A,0.277074,0.008500,0.328030,0.613604
WIN21B,0.254990,0.007703,0.382028,0.644721
EIL11A,0.560809,0.007220,0.349067,0.917096
LOK41A,0.266671,0.008531,0.357355,0.632557
OBU11B,0.635762,0.007180,0.315734,0.958676
WST41A,0.258855,0.006938,0.361117,0.626910
HOG21A,0.242140,0.007015,0.360782,0.609937
SOM11A,0.250416,0.006726,0.333461,0.590603
STA11B,0.235018,0.008335,0.320030,0.563383
KOD11A,0.616939,0.007507,0.362711,0.987157
DEL41Z,0.242765,0.009938,0.310813,0.563516
NES11A,0.254494,0.008946,0.323884,0.587324
LAU41A,0.267149,0.007503,0.360211,0.634863
NRU21A,0.252031,0.006855,0.372711,0.631597
COW21A,0.261228,0.007173,0.364915,0.633316
CHE11A,0.277260,0.008273,0.357463,0.642996
BRZ11A,0.273593,0.009172,0.358579,0.641344
BUT21A,0.279852,0.007432,0.343665,0.630949
PDR41A,0.274794,0.007504,0.329682,0.611980
WND11A,0.272201,0.008262,0.321001,0.601464
PEL11A,0.246462,0.009980,0.363907,0.620349
ATZ11A,0.269623,0.008434,0.351322,0.629379
OSL21A,0.275278,0.007523,0.346426,0.629227
SIS21A,0.259088,0.007290,0.324842,0.591220
DUR0211A,0.615164,0.007472,0.337412,0.960048
IMR41A,0.239361,0.007452,0.350612,0.597425
LEW21B___BESS,0.253426,0.009097,0.328232,0.590755
ALT11A,0.242423,0.008119,0.358855,0.609397
NHB21B,0.253225,0.011592,0.326324,0.591141
OLI11A,0.259007,0.007029,0.335972,0.602008
ATT21A,0.238989,0.008659,0.336483,0.584131
GOE11A,0.236781,0.007448,0.330869,0.575098
KLA11A,0.240946,0.008200,0.318754,0.567900
MOK11A,0.280520,0.009665,0.305133,0.595318
ZHN22C,0.258864,0.008499,0.308679,0.576042
NOH41A,0.239602,0.007718,0.336496,0.583816
MEW11A,0.253121,0.006944,0.311668,0.571733
WSD41A,0.246661,0.008480,0.351485,0.606626
PZG11A,0.262297,0.006943,0.427827,0.697067
UND41B,0.271119,0.007070,0.328261,0.606450
MOL11A,0.261040,0.009896,0.323881,0.594817
LUR41A,0.285470,0.007154,0.324662,0.617286
WDE21B,0.264381,0.007556,0.319345,0.591282
Koethen_INV_01_01,0.217061,0.007196,0.407028,0.631285
GAH11C,0.249752,0.006772,0.390727,0.647251
Koethen_INV_01_02,0.217564,0.006841,0.334979,0.559384
NOR11A,0.682623,0.007327,0.390469,1.080419
PAT11A,0.287663,0.008640,0.365695,0.661998
DRS41A,0.270519,0.007468,0.278781,0.556768
EGG21D,0.261657,0.006803,0.394482,0.662942
DOG11A,0.269632,0.006681,0.342337,0.618650
BIE11A,0.282195,0.007563,0.314349,0.604107
GEH21A,0.269399,0.006982,0.323725,0.600106
SEB11A,0.252560,0.007081,0.324612,0.584253
SGA11A,0.259100,0.006694,0.359719,0.625513
BOK11A,0.220612,0.007038,0.340600,0.568250
SRA11A,0.650987,0.006525,0.356233,1.013745
RON12A,0.224303,0.006557,0.336209,0.567069
GAA21D,0.261710,0.007313,0.383683,0.652706
PAW11A,0.620384,0.008376,0.342228,0.970988
RAK12A,0.248324,0.006883,0.329760,0.584967
HVB11A,0.238976,0.008481,0.328763,0.576220
LAA21A,0.246825,0.007129,0.333658,0.587612
NHB21D,0.248003,0.007031,0.336639,0.591673
BIT11A,0.248210,0.007544,0.332687,0.588441
NHB21A,0.254667,0.008163,0.313910,0.576740
LAA11A,0.263929,0.008650,0.346030,0.618609
DME41B,0.261627,0.008203,0.388269,0.658099
OBN11A,0.299443,0.007437,0.356997,0.663877
WCK42Z,0.268193,0.006864,0.460524,0.735581
WIL11A,0.281250,0.008451,0.318963,0.608664
ZHN22A,0.600585,0.010521,0.382353,0.993459
SDD41A,0.242960,0.008799,0.315943,0.567702
KMN11A,0.247822,0.010058,0.312005,0.569885
