janitza_name,extract,transform,load,total
LEW_AUX__Trafostation,1.898561,0.007568,0.508996,2.415125
BIS21A,0.357399,0.007886,0.503260,0.868545
EIS11A,1.081332,0.006680,0.452187,1.540199
LGB11A,0.332920,0.006283,0.514200,0.853403
DOR211A,1.118972,0.006754,0.587126,1.712852
WFL11A,1.102663,0.008449,0.534430,1.645542
KZS0141C,0.714336,0.005832,0.534144,1.254312
GDL21A,0.736010,0.006134,0.525252,1.267396
MOD11A,0.717190,0.006340,0.522781,1.246311
CAF41A,0.373056,0.007508,0.507175,0.887739
LIB11A,0.724268,0.008645,0.530195,1.263108
JAR41A,1.126381,0.007417,0.510046,1.643844
GUS11A,1.097562,0.007564,0.526301,1.631427
SDD41B,1.037154,0.006215,0.489187,1.532556
DRO41A,1.025765,0.005802,0.540385,1.571952
LET41A,0.738937,0.007452,0.512239,1.258628
UND41A,0.354600,0.005595,0.531649,0.891844
ZWO11A,0.714524,0.007494,0.588758,1.310776
SAE11A,1.036417,0.006323,0.495729,1.538469
FIK11A,0.981409,0.007051,0.500739,1.489199
HBH11A,0.731684,0.005972,0.500354,1.238010
LOZ11A,0.356291,0.005809,0.625129,0.987229
HIL41A,0.359222,0.006735,0.492755,0.858712
TPN11A,0.721880,0.005614,0.484210,1.211704
DUH11A,0.767948,0.006794,0.599853,1.374595
Eggesin03,0.760576,0.005986,0.438330,1.204892
GOZ11A,0.341618,0.006236,0.488947,0.836801
WIN21B,0.361521,0.006928,0.515686,0.884135
EIL11A,1.297918,0.007625,0.510316,1.815859
LOK41A,0.715135,0.006508,0.503277,1.224920
OBU11B,1.070149,0.005572,0.507659,1.583380
WST41A,0.362871,0.009866,0.503524,0.876261
HOG21A,0.741597,0.007466,0.489747,1.238810
SOM11A,0.755018,0.009934,0.450526,1.215478
STA11B,0.788757,0.005986,0.654965,1.449708
KOD11A,0.686490,0.006948,0.529072,1.222510
DEL41Z,0.733714,0.007908,0.554215,1.295837
NES11A,1.017137,0.006993,0.467619,1.491749
LAU41A,1.164120,0.006228,0.514078,1.684426
NRU21A,1.093715,0.005792,0.454504,1.554011
COW21A,0.725822,0.005698,0.486998,1.218518
CHE11A,1.108514,0.005879,0.438515,1.552908
BRZ11A,0.992805,0.005418,0.418554,1.416777
BUT21A,1.066882,0.006001,0.486584,1.559467
PDR41A,0.361796,0.006271,0.462626,0.830693
WND11A,0.330168,0.005618,0.423283,0.759069
PEL11A,1.049688,0.006182,0.508299,1.564169
ATZ11A,0.384300,0.005403,0.436592,0.826295
OSL21A,0.582115,0.005838,0.453238,1.041191
SIS21A,0.790551,0.005938,0.519274,1.315763
DUR0211A,0.676595,0.008336,0.506117,1.191048
IMR41A,0.711574,0.007468,0.520396,1.239438
LEW21B___BESS,1.034011,0.007803,0.517620,1.559434
ALT11A,1.095167,0.006767,0.508655,1.610589
NHB21B,1.030391,0.006868,0.495923,1.533182
OLI11A,0.667836,0.007263,0.637281,1.312380
ATT21A,0.696055,0.006113,0.497893,1.200061
GOE11A,0.366436,0.006774,0.529212,0.902422
KLA11A,0.668934,0.006900,0.441313,1.117147
MOK11A,0.730561,0.005996,0.493688,1.230245
ZHN22C,0.737171,0.006234,0.544827,1.288232
NOH41A,0.405189,0.007380,0.520492,0.933061
MEW11A,0.396113,0.006256,0.561118,0.963487
WSD41A,0.402989,0.006443,0.546057,0.955489
PZG11A,0.391123,0.006702,0.653460,1.051285
UND41B,0.397888,0.006639,0.547593,0.952120
MOL11A,0.745355,0.009421,0.530637,1.285413
LUR41A,0.400129,0.008213,0.505559,0.913901
WDE21B,0.353542,0.005655,0.499065,0.858262
Koethen_INV_01_01,0.768106,0.006270,0.605326,1.379702
GAH11C,1.011254,0.005973,0.552212,1.569439
Koethen_INV_01_02,1.097779,0.005787,0.501255,1.604821
NOR11A,0.732706,0.006346,0.612436,1.351488
PAT11A,0.338702,0.005641,0.456701,0.801044
DRS41A,0.373288,0.006218,0.506709,0.886215
EGG21D,1.108018,0.005563,0.620217,1.733798
DOG11A,1.043495,0.006657,0.439164,1.489316
BIE11A,0.339506,0.009188,0.516364,0.865058
GEH21A,0.356499,0.009246,0.524956,0.890701
SEB11A,0.360170,0.006102,0.501264,0.867536
SGA11A,1.058969,0.007077,0.516971,1.583017
BOK11A,1.063566,0.006040,0.507361,1.576967
SRA11A,0.747717,0.006252,0.496789,1.250758
RON12A,1.087307,0.006062,0.504051,1.597420
GAA21D,0.756149,0.005558,0.508412,1.270119
PAW11A,0.668767,0.014976,0.637221,1.320964
RAK12A,0.375545,0.005752,0.487390,0.868687
HVB11A,0.703051,0.006979,0.535045,1.245075
LAA21A,0.708507,0.008068,0.481749,1.198324
NHB21D,0.683959,0.006307,0.544894,1.235160
BIT11A,1.076362,0.009271,0.516059,1.601692
NHB21A,1.121005,0.009055,0.512756,1.642816
LAA11A,0.423770,0.007632,0.532489,0.963891
DME41B,0.667661,0.005973,0.491600,1.165234
OBN11A,0.665411,0.006697,0.518045,1.190153
WCK42Z,0.752084,0.006919,0.617598,1.376601
WIL11A,0.367102,0.006673,0.445339,0.819114
ZHN22A,0.359023,0.006713,0.440896,0.806632
SDD41A,0.674612,0.006379,0.431055,1.112046
KMN11A,0.756080,0.006424,0.501333,1.263837
