plant_count,hour,day,month,year,total
1,1.258,0.642,0.54,0.522,2.962
2,2.516,1.284,1.08,1.044,5.924
5,6.29,3.21,2.7,2.61,14.81
10,12.58,6.42,5.4,5.22,29.62
20,25.16,12.84,10.8,10.44,59.24
50,62.9,32.1,27.0,26.1,148.1
100,125.8,64.2,54.0,52.2,296.2
200,251.6,128.4,108.0,104.4,592.4
452,568.616,290.184,244.08,235.944,1338.824
500,629.0,321.0,270.0,261.0,1481.0
665,836.57,426.93,359.1,347.13,1969.73
1000,1258.0,642.0,540.0,522.0,2962.0
2000,2516.0,1284.0,1080.0,1044.0,5924.0
5000,6290.0,3210.0,2700.0,2610.0,14810.0
10000,12580.0,6420.0,5400.0,5220.0,29620.0
