janitza_name,extract,transform,load,total
LEW_AUX__Trafostation,0.218689,0.007086,0.309088,0.534863
BIS21A,0.175933,0.006895,0.310711,0.493539
EIS11A,0.220565,0.006907,0.353897,0.581369
LGB11A,0.211328,0.015034,0.337528,0.563890
DOR211A,0.194000,0.006069,0.329709,0.529778
WFL11A,0.200621,0.004816,0.274974,0.480411
KZS0141C,0.199225,0.006274,0.334062,0.539561
GDL21A,0.189621,0.005217,0.355175,0.550013
MOD11A,0.186105,0.006555,0.322671,0.515331
CAF41A,0.181555,0.004874,0.392756,0.579185
LIB11A,0.188853,0.004997,0.322052,0.515902
JAR41A,0.183593,0.005382,0.313958,0.502933
GUS11A,0.194300,0.008021,0.356965,0.559286
SDD41B,0.194350,0.005237,0.317803,0.517390
DRO41A,0.189774,0.004938,0.304971,0.499683
LET41A,0.183303,0.005116,0.322001,0.510420
UND41A,0.178809,0.006967,0.322889,0.508665
ZWO11A,0.201736,0.005565,0.349230,0.556531
SAE11A,0.207974,0.004967,0.341403,0.554344
FIK11A,0.185456,0.004783,0.324356,0.514595
HBH11A,0.194417,0.006466,0.330740,0.531623
LOZ11A,0.188442,0.004869,0.308034,0.501345
HIL41A,0.188699,0.005034,0.324279,0.518012
TPN11A,0.194441,0.005248,0.342142,0.541831
DUH11A,0.248383,0.004753,0.340402,0.593538
Eggesin03,0.171593,0.005058,0.357826,0.534477
GOZ11A,0.225128,0.004696,0.335801,0.565625
WIN21B,0.189179,0.005280,0.354182,0.548641
EIL11A,0.192465,0.005395,0.344315,0.542175
LOK41A,0.202080,0.005666,0.335634,0.543380
OBU11B,0.204084,0.004942,0.328755,0.537781
WST41A,0.189931,0.005150,0.305983,0.501064
HOG21A,0.179148,0.006395,0.297470,0.483013
SOM11A,0.186904,0.005418,0.312582,0.504904
STA11B,0.282009,0.026381,0.352408,0.660798
KOD11A,0.215235,0.006167,0.309820,0.531222
DEL41Z,0.211157,0.005135,0.293015,0.509307
NES11A,0.225438,0.017362,0.377586,0.620386
LAU41A,0.203834,0.007710,0.301390,0.512934
NRU21A,0.193402,0.008463,0.302142,0.504007
COW21A,0.175298,0.006182,0.310306,0.491786
CHE11A,0.200819,0.004690,0.352629,0.558138
BRZ11A,0.218481,0.011860,0.332812,0.563153
BUT21A,0.197042,0.005934,0.338542,0.541518
PDR41A,0.196525,0.016623,0.280906,0.494054
WND11A,0.278840,0.014664,0.378273,0.671777
PEL11A,0.235554,0.012298,0.334781,0.582633
ATZ11A,0.172559,0.008900,0.459010,0.640469
OSL21A,0.395648,0.025082,0.357531,0.778261
SIS21A,0.230641,0.063588,0.431685,0.725914
DUR0211A,0.211457,0.019613,0.459933,0.691003
IMR41A,0.231032,0.009593,0.300821,0.541446
LEW21B___BESS,0.180889,0.005860,0.309473,0.496222
ALT11A,0.206849,0.018474,0.308828,0.534151
NHB21B,0.185155,0.006321,0.333503,0.524979
OLI11A,0.293622,0.015783,0.332903,0.642308
ATT21A,0.244978,0.008001,0.442013,0.694992
GOE11A,0.249517,0.032718,0.348343,0.630578
KLA11A,0.176700,0.006980,0.279023,0.462703
MOK11A,0.163435,0.006749,0.300613,0.470797
ZHN22C,0.243993,0.005700,0.374747,0.624440
NOH41A,0.225881,0.005303,0.400030,0.631214
MEW11A,0.241193,0.005569,0.346838,0.593600
WSD41A,0.188681,0.005354,0.312935,0.506970
PZG11A,0.200657,0.004769,0.459109,0.664535
UND41B,0.201301,0.005227,0.350341,0.556869
MOL11A,0.196171,0.005820,0.324806,0.526797
LUR41A,0.214292,0.005345,0.348629,0.568266
WDE21B,0.183385,0.004865,0.260821,0.449071
Koethen_INV_01_01,0.514852,0.005605,0.321981,0.842438
GAH11C,0.179541,0.005189,0.347342,0.532072
Koethen_INV_01_02,0.206924,0.005184,0.318790,0.530898
NOR11A,0.165773,0.015367,0.344701,0.525841
PAT11A,0.223101,0.004781,0.239609,0.467491
DRS41A,0.133558,0.005209,0.309482,0.448249
EGG21D,0.187413,0.005148,0.392847,0.585408
DOG11A,0.163826,0.005371,0.341849,0.511046
BIE11A,0.207161,0.004712,0.254445,0.466318
GEH21A,0.141961,0.005011,0.286522,0.433494
SEB11A,0.174903,0.004565,0.331585,0.511053
SGA11A,0.170688,0.005115,0.341674,0.517477
BOK11A,0.186427,0.004755,0.324953,0.516135
SRA11A,0.186134,0.005757,0.302391,0.494282
RON12A,0.171276,0.005079,0.315323,0.491678
GAA21D,0.185490,0.005193,0.324183,0.514866
PAW11A,0.190152,0.004908,0.265817,0.460877
RAK12A,0.198329,0.004806,0.280806,0.483941
HVB11A,0.184719,0.004781,0.277289,0.466789
LAA21A,0.188304,0.004910,0.313472,0.506686
NHB21D,0.203340,0.005733,0.312865,0.521938
BIT11A,0.177533,0.005189,0.297241,0.479963
NHB21A,0.186875,0.005295,0.296833,0.489003
LAA11A,0.179731,0.005658,0.326743,0.512132
DME41B,0.177717,0.007167,0.286095,0.470979
OBN11A,0.137960,0.006022,0.324144,0.468126
WCK42Z,0.184010,0.005800,0.378165,0.567975
WIL11A,0.184928,0.005613,0.301187,0.491728
ZHN22A,0.168781,0.005030,0.316446,0.490257
SDD41A,0.147886,0.005787,0.319536,0.473209
KMN11A,0.184361,0.004779,0.319505,0.508645
