janitza_name,extract,transform,load,total
LEW_AUX__Trafostation,0.185579,0.004974,0.297968,0.488521
BIS21A,0.188403,0.004583,0.327816,0.520802
EIS11A,0.187254,0.005037,0.284281,0.476572
LGB11A,0.178259,0.005055,0.357566,0.540880
DOR211A,0.199306,0.004550,0.308517,0.512373
WFL11A,0.187066,0.005228,0.296344,0.488638
KZS0141C,0.189233,0.004707,0.306543,0.500483
GDL21A,0.200334,0.005455,0.293424,0.499213
MOD11A,0.173764,0.004854,0.309282,0.487900
CAF41A,0.191434,0.005514,0.307015,0.503963
LIB11A,0.195911,0.016698,0.370844,0.583453
JAR41A,0.192924,0.004781,0.299284,0.496989
GUS11A,0.195704,0.004665,0.345688,0.546057
SDD41B,0.179904,0.005098,0.303606,0.488608
DRO41A,0.196050,0.007226,0.304579,0.507855
LET41A,0.198328,0.005695,0.288700,0.492723
UND41A,0.175922,0.005215,0.291971,0.473108
ZWO11A,0.222928,0.005070,0.306062,0.534060
SAE11A,0.179967,0.005055,0.320758,0.505780
FIK11A,0.217992,0.008044,0.283707,0.509743
HBH11A,0.189412,0.007701,0.291481,0.488594
LOZ11A,0.193910,0.004945,0.305372,0.504227
HIL41A,0.184401,0.005028,0.295718,0.485147
TPN11A,0.196302,0.006701,0.308993,0.511996
DUH11A,0.200787,0.006446,0.314548,0.521781
Eggesin03,0.211969,0.005057,0.328760,0.545786
GOZ11A,0.195745,0.005756,0.410110,0.611611
WIN21B,0.196697,0.005686,0.319885,0.522268
EIL11A,0.204495,0.004805,0.333595,0.542895
LOK41A,0.203322,0.006451,0.338925,0.548698
OBU11B,0.197082,0.006014,0.342095,0.545191
WST41A,0.218715,0.008132,0.325813,0.552660
HOG21A,0.188908,0.005944,0.337682,0.532534
SOM11A,0.206834,0.005619,0.345028,0.557481
STA11B,0.214852,0.005108,0.346715,0.566675
KOD11A,0.194578,0.006040,0.300306,0.500924
DEL41Z,0.187726,0.004933,0.285057,0.477716
NES11A,0.191894,0.004838,0.308059,0.504791
LAU41A,0.200567,0.007312,0.311757,0.519636
NRU21A,0.181240,0.004788,0.326238,0.512266
COW21A,0.198081,0.005098,0.302719,0.505898
CHE11A,0.162392,0.005004,0.297792,0.465188
BRZ11A,0.168319,0.004806,0.285315,0.458440
BUT21A,0.206551,0.004764,0.303531,0.514846
PDR41A,0.189930,0.004977,0.304286,0.499193
WND11A,0.174373,0.006485,0.303114,0.483972
PEL11A,0.479653,0.005858,0.299513,0.785024
ATZ11A,0.184350,0.006224,0.307782,0.498356
OSL21A,0.184005,0.004922,0.298318,0.487245
SIS21A,0.203650,0.004671,0.316728,0.525049
DUR0211A,0.184266,0.006058,0.316665,0.506989
IMR41A,0.191294,0.007236,0.311514,0.510044
LEW21B___BESS,0.166763,0.006227,0.300570,0.473560
ALT11A,0.191630,0.005328,0.325648,0.522606
NHB21B,0.192734,0.004684,0.301011,0.498429
OLI11A,0.180161,0.005024,0.316193,0.501378
ATT21A,0.179640,0.006444,0.283403,0.469487
GOE11A,0.197915,0.004807,0.339199,0.541921
KLA11A,0.175453,0.004613,0.307651,0.487717
MOK11A,0.165161,0.004566,0.322238,0.491965
ZHN22C,0.191318,0.004872,0.348648,0.544838
NOH41A,0.207682,0.004850,0.307952,0.520484
MEW11A,0.225341,0.004911,0.291543,0.521795
WSD41A,0.203980,0.005307,0.317171,0.526458
PZG11A,0.190876,0.005874,0.406000,0.602750
UND41B,0.192193,0.004829,0.298332,0.495354
MOL11A,0.200878,0.004562,0.274905,0.480345
LUR41A,0.187111,0.006375,0.278467,0.471953
WDE21B,0.231979,0.005906,0.299748,0.537633
Koethen_INV_01_01,0.170792,0.004749,0.425115,0.600656
GAH11C,0.190052,0.005356,0.393779,0.589187
Koethen_INV_01_02,0.185924,0.006304,0.300902,0.493130
NOR11A,0.200628,0.004803,0.330976,0.536407
PAT11A,0.221999,0.004718,0.309298,0.536015
DRS41A,0.223290,0.004473,0.336711,0.564474
EGG21D,0.201246,0.004613,0.430291,0.636150
DOG11A,0.135021,0.004665,0.337641,0.477327
BIE11A,0.186321,0.004701,0.373630,0.564652
GEH21A,0.168719,0.004695,0.330495,0.503909
SEB11A,0.163726,0.004829,0.329946,0.498501
SGA11A,0.188925,0.005274,0.327658,0.521857
BOK11A,0.242234,0.004713,0.315483,0.562430
SRA11A,0.213705,0.004546,0.297097,0.515348
RON12A,0.180631,0.005005,0.276058,0.461694
GAA21D,0.218349,0.006477,0.312479,0.537305
PAW11A,0.144741,0.004978,0.263009,0.412728
RAK12A,0.170077,0.004379,0.315612,0.490068
HVB11A,0.198440,0.004610,0.283262,0.486312
LAA21A,0.145277,0.005000,0.342098,0.492375
NHB21D,0.229307,0.004726,0.327853,0.561886
BIT11A,0.207971,0.004783,0.341180,0.553934
NHB21A,0.197116,0.004498,0.331757,0.533371
LAA11A,0.204271,0.004773,0.345412,0.554456
DME41B,0.212009,0.010924,0.329946,0.552879
OBN11A,0.183819,0.013057,0.318242,0.515118
WCK42Z,0.241780,0.009089,0.471712,0.722581
WIL11A,0.202133,0.005192,0.360584,0.567909
ZHN22A,0.222930,0.007642,0.297065,0.527637
SDD41A,0.196069,0.004794,0.306860,0.507723
KMN11A,0.194396,0.004938,0.291131,0.490465
