janitza_count,ratio,read,compute,load,total
1,0.094,0.614,4.673,2.719,8.1
2,0.188,1.228,9.346,5.438,16.2
5,0.47,3.07,23.365,13.595,40.5
10,0.94,6.14,46.73,27.19,81.0
20,1.88,12.28,93.46,54.38,162.0
50,4.7,30.7,233.65,135.95,405.0
100,9.4,61.4,467.3,271.9,810.0
200,18.8,122.8,934.6,543.8,1620.0
290,27.26,178.06,1355.17,788.51,2349.0
500,47.0,307.0,2336.5,1359.5,4050.0
1000,94.0,614.0,4673.0,2719.0,8100.0
2000,188.0,1228.0,9346.0,5438.0,16200.0
5000,470.0,3070.0,23365.0,13595.0,40500.0
10000,940.0,6140.0,46730.0,27190.0,81000.0
