benchmark,ratio,read,compute,load,total
SIS21A,0.127080,0.720433,9.360851,5.102852,15.311216
STA211A,0.072694,0.724422,2.202548,1.289617,4.289281
NRU11A,0.073920,0.731465,2.354546,1.247420,4.407351
KUP41A,0.076507,1.134639,2.261218,1.513082,4.985446
GLE11Z,0.090232,0.841301,2.616373,1.292776,4.840682
DOE41A,0.111291,1.126305,13.733361,7.489000,22.459957
DIF0211A,0.074282,0.351615,2.112593,1.292002,3.830492
HOG21A,0.078549,1.080128,4.465811,2.527938,8.152426
NEU11A,0.076439,1.006954,2.178506,1.234118,4.496017
BRF11A,0.079565,0.374997,4.296766,2.743529,7.494857
FEU11A,0.068763,0.382416,2.171444,1.320051,3.942674
NEN11A,0.075242,0.356178,2.199261,1.245609,3.876290
LUR41A,0.095989,1.030886,8.618538,5.910448,15.655861
CLZ11A,0.111630,1.223654,6.909839,3.969155,12.214278
UND41A,0.100649,0.384691,6.927420,4.140933,11.553693
HOX11A,0.096797,0.385399,2.304961,1.394983,4.182140
BLB21A,0.075630,0.794159,2.189225,1.399064,4.458078
SAD11A,0.082216,0.366736,2.348804,1.344000,4.141756
SWS13A,0.070619,0.393162,2.249734,1.326830,4.040345
RON12A,0.088299,0.380235,2.803293,1.490819,4.762646
OBN11A,0.069062,0.485018,2.354255,1.325377,4.233712
DRD11A,0.081043,0.740914,2.249961,1.352527,4.424445
TPN11A,0.077815,0.363155,2.382761,1.298353,4.122084
NHD12A,0.109658,0.420129,4.992744,2.716824,8.239355
GOZ11C,0.082294,0.700996,2.229037,1.298128,4.310455
GLB21A,0.081300,0.741980,2.248524,1.323038,4.394842
TEU0311A,0.080718,0.449429,4.690224,2.591213,7.811584
KRF41A,0.085762,0.423662,4.506147,2.845598,7.861169
WER21A,0.094103,1.187206,9.545236,6.039756,16.866301
SEB11A,0.092095,0.396667,4.635636,2.594742,7.719140
MAL21A,0.073506,0.424245,2.225679,1.385583,4.109013
WTK31A,0.079827,0.397669,4.743664,2.862911,8.084071
DRO41A,0.081516,0.398352,4.447765,2.650819,7.578452
KWW11A,0.079885,0.445021,2.206498,1.259905,3.991309
BIM11A,0.087823,0.782029,4.458254,2.561399,7.889505
RAK12A,0.078442,0.393215,2.259285,1.396299,4.127241
NRU13A,0.076613,0.381028,2.455679,1.325256,4.238576
GOK11A,0.095041,0.371511,7.120017,3.974558,11.561127
WON11B,0.094547,0.393780,2.303298,1.369377,4.161002
STF31A,0.077110,0.386070,2.323630,1.312782,4.099592
STA11A,0.075063,0.397354,2.253325,1.313122,4.038864
ATZ11A,0.081396,0.417100,4.394785,2.550533,7.443814
ALB12A,0.095747,0.780189,6.573275,3.920673,11.369884
KAM11A,0.078490,0.781347,2.341324,1.351221,4.552382
DOG11A,0.082164,0.398237,2.480884,2.170312,5.131597
KZS0241A,0.398878,0.478273,9.086100,4.597144,14.560395
WUS41A,0.092475,0.698723,4.436025,2.622825,7.850048
FRL11A,0.083444,0.423089,4.790459,3.016168,8.313160
SPR11A,0.089698,0.391170,4.762198,2.693690,7.936756
BBG11C,0.072885,0.436222,2.690087,1.588591,4.787785
BBG11A,0.104722,0.381973,2.420220,1.386072,4.292987
TAU11A,0.076521,0.371924,2.378568,1.294774,4.121787
WAL21B,0.098471,0.720914,10.285312,6.088003,17.192700
NOH41A,0.111134,0.411225,2.569481,1.438658,4.530498
BIE11A,0.077774,0.403600,2.667915,1.444040,4.593329
SKU11A,0.086407,0.401650,2.760645,1.333331,4.582033
WON21A,0.079144,0.352469,2.700469,1.448988,4.581070
FEL11A,0.106904,0.414937,12.845271,7.317636,20.684748
PEL11A,0.094353,0.433710,7.344550,4.179891,12.052504
SIL11A,0.077994,0.471595,2.285064,1.365983,4.200636
KZS0141A,0.078967,1.082820,4.688999,2.968425,8.819211
ALT11A,0.084374,0.952756,2.211079,1.465419,4.713628
JAZ11A,0.073265,1.381823,2.219484,1.510726,5.185298
COS11A,0.071506,0.577186,2.895602,1.685935,5.230229
DOR211A,0.120192,0.641438,7.343605,4.254834,12.360069
POM11A,0.090731,0.797104,4.751121,3.230916,8.869872
MAW21A,0.087018,1.100266,2.156346,1.678905,5.022535
PAT11A,0.080769,0.818455,2.942447,1.546386,5.388057
NAN21A,0.079713,0.447695,2.415648,1.412681,4.355737
JAR41A,0.073563,0.403529,2.196699,1.440909,4.114700
GAH11E,0.125261,0.430797,13.142869,7.240730,20.939657
BBG12A,0.080681,0.722424,3.444061,1.652194,5.899360
EBE41A,0.386047,0.416765,33.860985,19.169771,53.833568
FIS11A,0.073883,0.749212,3.313417,1.630345,5.766857
PRE41Z,0.124269,0.768828,6.197287,3.370559,10.460943
GRH11A,0.105313,0.741547,8.000996,4.468954,13.316810
LIN11A,0.104614,0.418525,2.662664,1.513821,4.699624
OBS21A,0.108971,0.404888,8.060318,4.290680,12.864857
WIS11A,0.085516,0.446853,2.508783,1.439627,4.480779
PDR41A,0.078939,0.735273,2.868723,1.614836,5.297771
UST41A,0.093069,0.410389,5.276382,3.056259,8.836099
Eggesin03,0.080380,0.425865,2.481179,1.405064,4.392488
BUE11A,0.084514,0.763700,4.863223,2.942614,8.654051
BRU11A,0.081914,0.427309,2.466952,1.471478,4.447653
SMW41A,0.130196,1.383516,15.131687,8.838472,25.483871
ALD41A,0.101690,0.411804,11.569294,6.339036,18.421824
UPA11A,0.148340,0.551000,2.961597,1.555356,5.216293
HOK21A,0.101568,0.454459,7.737853,4.393226,12.687106
TEU41A,0.099089,0.813072,10.192902,6.386664,17.491727
NHK21A,0.090376,1.301546,4.538607,2.950017,8.880546
GLA11A,0.077884,0.763549,2.388197,1.392592,4.622222
KLD11A,0.072781,0.757500,2.241684,1.366779,4.438744
IMR41A,0.085983,0.418965,4.498996,2.735498,7.739442
NRU14A,0.074657,0.727933,2.153979,1.346710,4.303279
GRR11A,0.071881,0.750098,2.133932,1.382333,4.338244
DUR0211A,0.093476,0.435461,6.546982,4.080290,11.156209
GRW21A,0.081733,0.429467,2.491327,1.503090,4.505617
TAU12A,0.103305,1.066988,2.237642,1.277735,4.685670
ANK11A,0.071294,0.794476,2.102130,1.296133,4.264033
