start_ts,end_ts,day_ahead,consecutive,negative_hours
2024-12-31 23:00:00+00:00,2024-12-31 23:15:00+00:00,0.216,0,0
2024-12-31 23:15:00+00:00,2024-12-31 23:30:00+00:00,0.216,0,0
2024-12-31 23:30:00+00:00,2024-12-31 23:45:00+00:00,0.216,0,0
2024-12-31 23:45:00+00:00,2025-01-01 00:00:00+00:00,0.216,0,0
2025-01-01 00:00:00+00:00,2025-01-01 00:15:00+00:00,0.16,0,0
2025-01-01 00:15:00+00:00,2025-01-01 00:30:00+00:00,0.16,0,0
2025-01-01 00:30:00+00:00,2025-01-01 00:45:00+00:00,0.16,0,0
2025-01-01 00:45:00+00:00,2025-01-01 01:00:00+00:00,0.16,0,0
2025-01-01 01:00:00+00:00,2025-01-01 01:15:00+00:00,0.0,0,0
2025-01-01 01:15:00+00:00,2025-01-01 01:30:00+00:00,0.0,0,0
2025-01-01 01:30:00+00:00,2025-01-01 01:45:00+00:00,0.0,0,0
2025-01-01 01:45:00+00:00,2025-01-01 02:00:00+00:00,0.0,0,0
2025-01-01 02:00:00+00:00,2025-01-01 02:15:00+00:00,-0.001,1,14
2025-01-01 02:15:00+00:00,2025-01-01 02:30:00+00:00,-0.001,1,14
2025-01-01 02:30:00+00:00,2025-01-01 02:45:00+00:00,-0.001,1,14
2025-01-01 02:45:00+00:00,2025-01-01 03:00:00+00:00,-0.001,1,14
2025-01-01 03:00:00+00:00,2025-01-01 03:15:00+00:00,-0.001,2,14
2025-01-01 03:15:00+00:00,2025-01-01 03:30:00+00:00,-0.001,2,14
2025-01-01 03:30:00+00:00,2025-01-01 03:45:00+00:00,-0.001,2,14
2025-01-01 03:45:00+00:00,2025-01-01 04:00:00+00:00,-0.001,2,14
2025-01-01 04:00:00+00:00,2025-01-01 04:15:00+00:00,-0.006,3,14
2025-01-01 04:15:00+00:00,2025-01-01 04:30:00+00:00,-0.006,3,14
2025-01-01 04:30:00+00:00,2025-01-01 04:45:00+00:00,-0.006,3,14
2025-01-01 04:45:00+00:00,2025-01-01 05:00:00+00:00,-0.006,3,14
2025-01-01 05:00:00+00:00,2025-01-01 05:15:00+00:00,-0.009,4,14
2025-01-01 05:15:00+00:00,2025-01-01 05:30:00+00:00,-0.009,4,14
2025-01-01 05:30:00+00:00,2025-01-01 05:45:00+00:00,-0.009,4,14
2025-01-01 05:45:00+00:00,2025-01-01 06:00:00+00:00,-0.009,4,14
2025-01-01 06:00:00+00:00,2025-01-01 06:15:00+00:00,-0.001,5,14
2025-01-01 06:15:00+00:00,2025-01-01 06:30:00+00:00,-0.001,5,14
2025-01-01 06:30:00+00:00,2025-01-01 06:45:00+00:00,-0.001,5,14
2025-01-01 06:45:00+00:00,2025-01-01 07:00:00+00:00,-0.001,5,14
2025-01-01 07:00:00+00:00,2025-01-01 07:15:00+00:00,-0.001,6,14
2025-01-01 07:15:00+00:00,2025-01-01 07:30:00+00:00,-0.001,6,14
2025-01-01 07:30:00+00:00,2025-01-01 07:45:00+00:00,-0.001,6,14
2025-01-01 07:45:00+00:00,2025-01-01 08:00:00+00:00,-0.001,6,14
2025-01-01 08:00:00+00:00,2025-01-01 08:15:00+00:00,-0.004,7,14
2025-01-01 08:15:00+00:00,2025-01-01 08:30:00+00:00,-0.004,7,14
2025-01-01 08:30:00+00:00,2025-01-01 08:45:00+00:00,-0.004,7,14
2025-01-01 08:45:00+00:00,2025-01-01 09:00:00+00:00,-0.004,7,14
2025-01-01 09:00:00+00:00,2025-01-01 09:15:00+00:00,-0.003,8,14
2025-01-01 09:15:00+00:00,2025-01-01 09:30:00+00:00,-0.003,8,14
2025-01-01 09:30:00+00:00,2025-01-01 09:45:00+00:00,-0.003,8,14
2025-01-01 09:45:00+00:00,2025-01-01 10:00:00+00:00,-0.003,8,14
2025-01-01 10:00:00+00:00,2025-01-01 10:15:00+00:00,-0.01,9,14
2025-01-01 10:15:00+00:00,2025-01-01 10:30:00+00:00,-0.01,9,14
2025-01-01 10:30:00+00:00,2025-01-01 10:45:00+00:00,-0.01,9,14
2025-01-01 10:45:00+00:00,2025-01-01 11:00:00+00:00,-0.01,9,14
2025-01-01 11:00:00+00:00,2025-01-01 11:15:00+00:00,-0.005,10,14
2025-01-01 11:15:00+00:00,2025-01-01 11:30:00+00:00,-0.005,10,14
2025-01-01 11:30:00+00:00,2025-01-01 11:45:00+00:00,-0.005,10,14
2025-01-01 11:45:00+00:00,2025-01-01 12:00:00+00:00,-0.005,10,14
2025-01-01 12:00:00+00:00,2025-01-01 12:15:00+00:00,-0.01,11,14
2025-01-01 12:15:00+00:00,2025-01-01 12:30:00+00:00,-0.01,11,14
2025-01-01 12:30:00+00:00,2025-01-01 12:45:00+00:00,-0.01,11,14
2025-01-01 12:45:00+00:00,2025-01-01 13:00:00+00:00,-0.01,11,14
2025-01-01 13:00:00+00:00,2025-01-01 13:15:00+00:00,-0.101,12,14
2025-01-01 13:15:00+00:00,2025-01-01 13:30:00+00:00,-0.101,12,14
2025-01-01 13:30:00+00:00,2025-01-01 13:45:00+00:00,-0.101,12,14
2025-01-01 13:45:00+00:00,2025-01-01 14:00:00+00:00,-0.101,12,14
2025-01-01 14:00:00+00:00,2025-01-01 14:15:00+00:00,-0.001,13,14
2025-01-01 14:15:00+00:00,2025-01-01 14:30:00+00:00,-0.001,13,14
2025-01-01 14:30:00+00:00,2025-01-01 14:45:00+00:00,-0.001,13,14
2025-01-01 14:45:00+00:00,2025-01-01 15:00:00+00:00,-0.001,13,14
2025-01-01 15:00:00+00:00,2025-01-01 15:15:00+00:00,-0.001,14,14
