benchmark,read,compute,load,total
157,1.754633,0.031410,1.279825,3.065868
525,0.706142,0.021717,1.313379,2.041238
148,1.428881,0.029453,1.179575,2.637909
138,0.998184,0.024462,1.159233,2.181879
288,0.328659,0.025920,1.194336,1.548915
529,0.767113,0.038269,1.224186,2.029568
312,0.691836,0.027417,1.216617,1.935870
649,0.299964,0.021980,1.213359,1.535303
587,1.505298,0.023652,1.142768,2.671718
208,0.695145,0.022146,1.216865,1.934156
108,1.030948,0.024259,1.193641,2.248848
269,0.328294,0.020852,1.126339,1.475485
315,1.067096,0.022715,1.141747,2.231558
155,1.350996,0.022089,1.103146,2.476231
27,0.704379,0.022009,1.113697,1.840085
53,1.009952,0.022617,1.148069,2.180638
90,0.674897,0.021674,1.169602,1.866173
521,1.011544,0.019386,1.162125,2.193055
592,1.078356,0.022452,1.186482,2.287290
227,1.192653,0.032574,1.175844,2.401071
48,1.057628,0.027945,1.172017,2.257590
33,0.840468,0.021282,1.156122,2.017872
129,1.089623,0.019694,1.165693,2.275010
249,0.718910,0.024291,1.106360,1.849561
319,0.699616,0.022089,1.102641,1.824346
105,0.711592,0.019724,1.126193,1.857509
264,0.312755,0.025112,1.082388,1.420255
263,0.314904,0.020772,2.377656,2.713332
12,0.681254,0.021578,1.119350,1.822182
244,0.689697,0.021579,1.123776,1.835052
92,0.356778,0.025177,1.150109,1.532064
576,0.329270,0.023216,1.088908,1.441394
107,1.054561,0.033652,1.100876,2.189089
560,0.330196,0.021176,1.088088,1.439460
265,1.040097,0.021283,1.126048,2.187428
318,1.004885,0.025382,1.176837,2.207104
546,0.330773,0.022889,1.079161,1.432823
89,1.377561,0.024393,1.133472,2.535426
20,1.097585,0.025026,1.121890,2.244501
6,0.704298,0.024464,1.182500,1.911262
517,1.097845,0.021332,1.203846,2.323023
56,1.079098,0.025681,1.259721,2.364500
286,1.069115,0.021751,1.168479,2.259345
19,0.331736,0.022472,2.364743,2.718951
275,0.686307,0.024312,1.139578,1.850197
528,1.340397,0.024121,1.131617,2.496135
42,1.058001,0.021589,1.101484,2.181074
165,0.677146,0.023316,1.102274,1.802736
82,1.409690,0.021307,1.082929,2.513926
143,0.307079,0.021412,1.198486,1.526977
63,0.675086,0.021160,1.121455,1.817701
121,0.320417,0.019594,1.096001,1.436012
333,1.032382,0.019341,1.161398,2.213121
513,0.659108,0.021822,1.170041,1.850971
102,1.045272,0.022222,1.135238,2.202732
158,1.097877,0.023042,1.111655,2.232574
301,1.046284,0.019312,1.134059,2.199655
588,1.083002,0.026815,1.120272,2.230089
414,0.644707,0.022572,1.183797,1.851076
665,0.656018,0.021294,1.139377,1.816689
179,1.079485,0.021932,1.128532,2.229949
594,0.667510,0.023074,1.128155,1.818739
579,0.318578,0.019793,1.092873,1.431244
225,0.349117,0.019711,1.129883,1.498711
357,0.715313,0.020799,1.138175,1.874287
586,1.058626,0.023270,1.120617,2.202513
595,0.345875,0.024043,1.151798,1.521716
78,0.334779,0.021183,1.100215,1.456177
221,0.347060,0.024208,1.186579,1.557847
116,0.700762,0.020437,1.156603,1.877802
404,0.958371,0.031517,1.170652,2.160540
178,0.358666,0.026390,1.167626,1.552682
248,0.345847,0.020720,1.226254,1.592821
152,1.400674,0.034909,1.208424,2.644007
593,0.324433,0.021272,1.154097,1.499802
28,0.681080,0.019217,1.151804,1.852101
30,1.015198,0.020497,1.148142,2.183837
411,0.722590,0.019474,1.288778,2.030842
71,1.013064,0.023362,1.200418,2.236844
209,1.076991,0.021514,1.246135,2.344640
664,0.719283,0.024966,1.168592,1.912841
181,0.374936,0.021036,1.160992,1.556964
242,0.693381,0.021608,1.208505,1.923494
206,0.360835,0.021937,1.172144,1.554916
77,0.656570,0.022871,1.182102,1.861543
40,0.751914,0.021083,1.203111,1.976108
415,0.726517,0.018137,1.157470,1.902124
503,1.014026,0.021963,1.300450,2.336439
360,1.080181,0.024604,1.219472,2.324257
527,0.751888,0.022923,1.227574,2.002385
667,0.729783,0.027185,1.190750,1.947718
127,1.061954,0.024285,1.249108,2.335347
335,0.736205,0.021358,1.187647,1.945210
130,1.076723,0.022362,1.214745,2.313830
334,0.728923,0.020733,1.217075,1.966731
598,0.397332,0.022596,1.240387,1.660315
2,0.377353,0.021109,1.213278,1.611740
596,0.709039,0.021617,1.193725,1.924381
511,0.726185,0.020411,1.189182,1.935778
407,0.728856,0.021680,1.189714,1.940250
