file_count,quarter-hour,hour,day,month,year
1,0.817,0.351,0.202,0.203,0.201
2,1.634,0.702,0.404,0.406,0.402
5,4.085,1.755,1.01,1.015,1.005
10,8.17,3.51,2.02,2.03,2.01
20,16.34,7.02,4.04,4.06,4.02
50,40.85,17.55,10.1,10.15,10.05
100,81.7,35.1,20.2,20.3,20.1
200,163.4,70.2,40.4,40.6,40.2
290,236.93,101.79,58.58,58.87,58.29
452,369.284,158.652,91.304,91.756,90.852
500,408.5,175.5,101.0,101.5,100.5
665,543.305,233.415,134.33,134.995,133.665
1000,817.0,351.0,202.0,203.0,201.0
2000,1634.0,702.0,404.0,406.0,402.0
5000,4085.0,1755.0,1010.0,1015.0,1005.0
10000,8170.0,3510.0,2020.0,2030.0,2010.0
