file_count,quarter-hour,hour,day,month,year
1,1.03,0.53,0.337,0.328,0.323
2,2.06,1.06,0.674,0.656,0.646
5,5.15,2.65,1.685,1.64,1.615
10,10.3,5.3,3.37,3.28,3.23
20,20.6,10.6,6.74,6.56,6.46
50,51.5,26.5,16.85,16.4,16.15
100,103.0,53.0,33.7,32.8,32.3
200,206.0,106.0,67.4,65.6,64.6
290,298.7,153.7,97.73,95.12,93.67
452,465.56,239.56,152.324,148.256,145.996
500,515.0,265.0,168.5,164.0,161.5
665,684.95,352.45,224.105,218.12,214.795
1000,1030.0,530.0,337.0,328.0,323.0
2000,2060.0,1060.0,674.0,656.0,646.0
5000,5150.0,2650.0,1685.0,1640.0,1615.0
10000,10300.0,5300.0,3370.0,3280.0,3230.0
