janitza,read,write,total
LAA11A,0.201163,0.357914,0.559077
KLA11A,0.208909,0.368657,0.577566
GGT11A,0.216913,0.355327,0.572240
LGB11A,0.212398,0.311504,0.523902
ZWS11A,0.206183,0.312426,0.518609
LEW_AUX__Trafostation,0.191388,0.328754,0.520142
DEL41Z,0.204268,0.349235,0.553503
PZG11A,0.206678,0.346877,0.553555
OBR11A,0.229238,0.336900,0.566138
ZHN22C,0.205884,0.344759,0.550643
GAT41A,0.200906,0.337265,0.538171
DUH11A,0.207709,0.355155,0.562864
SRA11A,0.227245,0.351413,0.578658
GEH21A,0.211367,0.330784,0.542151
LIB11A,0.193676,0.323132,0.516808
RON12A,0.217008,0.352990,0.569998
DRO41A,0.191141,0.347614,0.538755
TPN11A,0.217554,0.344411,0.561965
POP41A,0.206788,0.342542,0.549330
PAT11A,0.205748,0.306136,0.511884
LUR41A,0.199786,0.317462,0.517248
COW21A,0.175427,0.310285,0.485712
DUR0211A,0.198681,0.309881,0.508562
KOD11A,0.201786,0.366794,0.568580
UND41B,0.209236,0.347681,0.556917
NRU13A,0.200179,0.372527,0.572706
BOK11A,0.209661,0.325329,0.534990
WIN21B,0.206294,0.344516,0.550810
AGD11A,0.187358,0.308957,0.496315
IMR41A,0.211241,0.317750,0.528991
NOR11A,0.191311,0.324221,0.515532
DOR211A,0.201393,0.303017,0.504410
OLI11A,0.212595,0.315207,0.527802
NRU11A,0.211901,0.320004,0.531905
BUT21A,0.188966,0.338004,0.526970
HBH11A,0.179955,0.318201,0.498156
EHN41A,0.195713,0.346516,0.542229
KZS0141C,0.201658,0.324346,0.526004
WST41A,0.204520,0.414085,0.618605
UWE41A,0.208235,0.322241,0.530476
ZHN22A,0.204460,0.337248,0.541708
GRO11A,0.203273,0.342663,0.545936
GOZ11A,0.204954,0.336960,0.541914
MEW11A,0.209250,0.410002,0.619252
Koethen_INV_01_01,0.201724,0.321783,0.523507
ATZ11A,0.204023,0.323382,0.527405
BRZ11A,0.204521,0.312330,0.516851
EGG21D,0.191169,0.312317,0.503486
MLL11A,0.192443,0.327921,0.520364
POL21A,0.205079,0.321207,0.526286
SDD41B,0.201479,0.321156,0.522635
OSL21A,0.220296,0.317032,0.537328
GAA21D,0.208938,0.354932,0.563870
GDL21A,0.194030,0.354477,0.548507
DOG11A,0.219566,0.296258,0.515824
MOL11A,0.184314,0.296444,0.480758
COB11A,0.193865,0.330673,0.524538
MOK11A,0.185312,0.338369,0.523681
EIS11A,0.205938,0.330728,0.536666
GAH11C,0.197268,0.326044,0.523312
WBK0241A,0.204184,0.340545,0.544729
PDR41A,0.195022,0.326306,0.521328
WDE21B,0.219342,0.334581,0.553923
WEN11A,0.216949,0.308152,0.525101
SIS21A,0.198427,0.350040,0.548467
FIK11A,0.215185,0.362546,0.577731
JAR41A,0.197096,0.330201,0.527297
LOZ11A,0.220537,0.321388,0.541925
LEW11A,0.190886,0.333417,0.524303
HOG21A,0.209255,0.337636,0.546891
STA11A,0.198743,0.329401,0.528144
OBU11B,0.207889,0.345702,0.553591
QST41A,0.196201,0.343980,0.540181
NES11A,0.212460,0.338838,0.551298
CHE11A,0.193904,0.356509,0.550413
CAX11A,0.175554,0.321675,0.497229
HIL41A,0.169515,0.344860,0.514375
ZWO11A,0.225435,0.328300,0.553735
CAF41A,0.199122,0.316478,0.515600
WAL21C,0.192527,0.318301,0.510828
SPA11A,0.188129,0.307752,0.495881
MFS11A,0.206075,0.318448,0.524523
HVB11A,0.195402,0.328192,0.523594
OBN11A,0.197678,0.400656,0.598334
Koethen_INV_03_06,0.198133,0.417678,0.615811
NRU21A,0.180959,0.303654,0.484613
BIT11A,0.208475,0.429155,0.637630
PEL11A,0.177673,0.341211,0.518884
LEW21B___BESS,0.200272,0.337269,0.537541
KMN11A,0.192947,0.338555,0.531502
SGA11A,0.195033,0.339571,0.534604
SOM11A,0.198950,0.339480,0.538430
WCK42Z,0.190316,0.345353,0.535669
NHB21B,0.201798,0.358634,0.560432
GOZ11E,0.198882,0.325268,0.524150
MOD11A,0.188142,0.330170,0.518312
ERM11A,0.199086,0.307820,0.506906
WIL11A,0.181182,0.355878,0.537060
PAW11A,0.221196,0.359201,0.580397
SEB11A,0.230473,0.330555,0.561028
