janitza,read,write,total
AGD11A,0.611570,0.472246,1.083816
DME41B,0.605152,0.499286,1.104438
GAA21D,0.254869,0.500316,0.755185
RON12A,0.247290,0.508740,0.756030
DUR0211A,0.625485,0.536270,1.161755
MOL11A,0.250273,0.529016,0.779289
WIL11A,0.550727,0.633488,1.184215
RAK12A,0.279390,0.510397,0.789787
SGA11A,0.623359,0.475271,1.098630
POL21A,0.281929,0.543991,0.825920
WDE21B,0.274784,0.493369,0.768153
DOG11A,0.621311,0.519465,1.140776
WFL11A,0.253809,0.554314,0.808123
PEL11A,0.256018,0.536483,0.792501
NHD11A,0.272043,0.566718,0.838761
DOE41A,0.277058,0.614019,0.891077
STA11B,0.260010,0.529810,0.789820
BOK11A,0.251789,0.512101,0.763890
ATT21A,0.639652,0.524779,1.164431
COW21A,0.624491,0.509977,1.134468
WSD41A,0.254323,0.575960,0.830283
Koethen_INV_01_02,0.270100,0.512326,0.782426
SDD41B,0.257656,0.511226,0.768882
UW_Hof,0.244500,0.545587,0.790087
BIE11A,0.663770,0.554981,1.218751
Koethen_INV_01_01,0.654649,0.515772,1.170421
MOD11A,0.241370,0.505313,0.746683
GAT41A,0.243876,0.506828,0.750704
SIS21A,0.248155,0.558801,0.806956
PAT11A,0.275275,0.571146,0.846421
HEL11A,0.378410,0.750890,1.129300
KMN11A,0.267637,0.580614,0.848251
LIB11A,0.584610,0.561066,1.145676
WST41A,0.285685,0.529694,0.815379
Eggesin03,0.296538,0.544204,0.840742
LEW21B___BESS,0.283249,0.550522,0.833771
SAE11A,0.256719,0.510001,0.766720
SPA11A,0.262163,0.450737,0.712900
KLA11A,0.230854,0.508947,0.739801
HBH11A,0.244028,0.538674,0.782702
NRU13A,0.258543,0.514257,0.772800
PAW11A,0.243027,0.497587,0.740614
UWE41A,0.260003,0.538718,0.798721
OSL21A,0.253517,0.526380,0.779897
NHB21D,0.247420,0.604890,0.852310
CAX11A,0.273275,0.496023,0.769298
ZWS11A,0.608342,0.502806,1.111148
LOK41A,0.672371,0.509960,1.182331
DRS41A,0.236455,0.494724,0.731179
HLC11A,0.241738,0.509684,0.751422
SDD41A,0.273052,0.530767,0.803819
SRA11A,0.235250,0.560626,0.795876
DOR211A,0.253091,0.535215,0.788306
SEB11A,0.271003,0.532812,0.803815
ZWO11A,0.606397,0.514165,1.120562
EIL11A,0.241652,0.507858,0.749510
ZHN22A,0.591542,0.547199,1.138741
KOD11A,0.595614,0.488578,1.084192
MOK11A,0.229450,0.498789,0.728239
NHB21A,0.247065,0.505985,0.753050
MEW11A,0.230343,0.501074,0.731417
GOZ11A,0.575809,0.504184,1.079993
SOM11A,0.646728,0.544611,1.191339
LEW_AUX__Trafostation,0.243025,0.517897,0.760922
GUS11A,0.613046,0.521373,1.134419
GOZ11E,0.260060,0.543290,0.803350
EHN41A,0.247924,0.636181,0.884105
MLL11A,0.247640,0.606026,0.853666
IMR41A,0.245874,0.599388,0.845262
WZH11A,0.600170,0.491606,1.091776
BRZ11A,0.219190,0.618689,0.837879
WST41C,0.245927,0.537949,0.783876
TPN11A,0.272079,0.568465,0.840544
UW_Dinau,0.256566,0.524178,0.780744
COB11A,0.599484,0.522125,1.121609
BRE0141C,0.245641,0.486353,0.731994
DRO41A,0.239402,0.513792,0.753194
SLA31A,0.553357,0.520073,1.073430
KZS0141C,0.262617,0.493878,0.756495
UND41A,0.232855,0.499886,0.732741
GGT11A,0.256600,0.493736,0.750336
CHE11A,0.530169,0.525684,1.055853
EIS11A,0.246585,0.505841,0.752426
DEL41Z,0.597433,0.523179,1.120612
WEN11A,0.559560,0.480967,1.040527
PDR41A,0.237517,0.494723,0.732240
POM41B,0.262063,0.503598,0.765661
DUH11A,0.589456,0.531607,1.121063
GAH11C,0.240856,0.523046,0.763902
OLI11A,0.262066,0.567471,0.829537
HVB11A,0.255540,0.531269,0.786809
NRU11A,0.241048,0.551590,0.792638
JAR41A,0.255054,0.526185,0.781239
ATZ11A,0.250464,0.540462,0.790926
PZG11A,0.268916,0.487018,0.755934
BRI11A,0.236954,0.504037,0.740991
WND11A,0.586033,0.517768,1.103801
GAH11B,0.274972,0.525462,0.800434
NES11A,0.262409,0.539280,0.801689
CAF41A,0.266757,0.516367,0.783124
