janitza,read,write,total
EGG21D,0.200979,0.309422,0.510401
EIS11A,0.199209,0.311993,0.511202
CHE11A,0.205663,0.308707,0.514370
NHB21D,0.190511,0.302364,0.492875
WIL11A,0.196152,0.320061,0.516213
WND11A,0.239496,0.316263,0.555759
LGB11A,0.203993,0.307264,0.511257
NES11A,0.218341,0.339939,0.558280
UND41A,0.198867,0.343587,0.542454
WST41A,0.220364,0.338285,0.558649
ZHN22A,0.215409,0.348387,0.563796
KMN11A,0.225455,0.450830,0.676285
LAU41A,0.221178,0.360090,0.581268
WDE21B,0.224193,0.331743,0.555936
DUH11A,0.226174,0.334638,0.560812
HOG21A,0.207651,0.322163,0.529814
MFS11A,0.193649,0.326809,0.520458
ALT11A,0.211534,0.326421,0.537955
DOG11A,0.214269,0.321560,0.535829
WIN21B,0.198181,0.305854,0.504035
SRA11A,0.197005,0.323456,0.520461
BIE11A,0.199631,0.321223,0.520854
HVB11A,0.201834,0.333060,0.534894
BIT11A,0.191369,0.310236,0.501605
WZH11A,0.186393,0.295977,0.482370
WBK0241A,0.207305,0.316127,0.523432
FIK11A,0.186557,0.307866,0.494423
ATT21A,0.198788,0.285330,0.484118
SOE41A,0.196157,0.335306,0.531463
EIL11A,0.211897,0.319451,0.531348
SOM11A,0.184866,0.395674,0.580540
BRI11A,0.201373,0.343352,0.544725
NRU13A,0.190534,0.301334,0.491868
PAW11A,0.182409,0.398551,0.580960
ZHN22C,0.178659,0.304226,0.482885
Koethen_INV_01_01,0.202593,0.298686,0.501279
SIS21A,0.200518,0.314478,0.514996
LET41A,0.188259,0.313993,0.502252
COB11A,0.194005,0.294044,0.488049
GDL21A,0.181811,0.312093,0.493904
SDD41A,0.205866,0.389060,0.594926
OBR11A,0.178251,0.301481,0.479732
BUT21A,0.188378,0.315340,0.503718
MLL11A,0.191703,0.318197,0.509900
WSD41A,0.203931,0.268181,0.472112
NHB21B,0.203912,0.335971,0.539883
DRO41A,0.195467,0.309251,0.504718
HLC11A,0.193819,0.311613,0.505432
NOR11A,0.216232,0.317370,0.533602
ATZ11A,0.203090,0.319075,0.522165
EHN41A,0.186379,0.300703,0.487082
SAE11A,0.193416,0.324488,0.517904
POP41A,0.211737,0.323545,0.535282
NRU21A,0.204428,0.417297,0.621725
OSL21A,0.198516,0.414864,0.613380
LUR41A,0.183921,0.308238,0.492159
GAT41A,0.199512,0.318474,0.517986
KLA11A,0.213694,0.322451,0.536145
CAF41A,0.197285,0.314422,0.511707
ZWO11A,0.208915,0.322602,0.531517
OLI11A,0.212356,0.328374,0.540730
ERM11A,0.210545,0.308812,0.519357
DOR211A,0.206972,0.333324,0.540296
LAA21A,0.207600,0.325602,0.533202
AGD11A,0.204344,0.323005,0.527349
WEN11A,0.201060,0.345021,0.546081
KZS0141C,0.196616,0.335452,0.532068
GOZ11E,0.196304,0.330055,0.526359
GEH21A,0.197493,0.350098,0.547591
BIS21A,0.200877,0.297275,0.498152
LAA11A,0.200100,0.337925,0.538025
OBU11B,0.175333,0.329706,0.505039
ZWS11A,0.217287,0.311428,0.528715
UND41B,0.202866,0.336544,0.539410
GUS11A,0.225854,0.314381,0.540235
WFL11A,0.147440,0.313217,0.460657
POM41B,0.197797,0.307674,0.505471
JAR41A,0.209574,0.323042,0.532616
DME41B,0.209591,0.331838,0.541429
Eggesin03,0.208640,0.320527,0.529167
GOE11A,0.198421,0.314007,0.512428
SDD41B,0.191157,0.311357,0.502514
SRE11A,0.195602,0.323058,0.518660
KOD11A,0.218329,0.307566,0.525895
GOZ11A,0.198913,0.318343,0.517256
MEW11A,0.197599,0.344066,0.541665
UWE41A,0.214064,0.292409,0.506473
LIB11A,0.195087,0.329257,0.524344
GAH11C,0.216553,0.326532,0.543085
POL21A,0.213084,0.334532,0.547616
GRO11A,0.207149,0.339838,0.546987
WCK42Z,0.216066,0.345782,0.561848
LOK41A,0.221673,0.336191,0.557864
NRU11A,0.209069,0.325446,0.534515
STA11A,0.205547,0.328769,0.534316
PAT11A,0.215135,0.351509,0.566644
SGA11A,0.216536,0.343338,0.559874
SPA11A,0.211460,0.301706,0.513166
LEW11A,0.214678,0.456275,0.670953
TPN11A,0.223907,0.364859,0.588766
