janitza,read,write,total
OSL21A,1.095461,0.936403,2.031864
KZS0241B,0.802999,1.126993,1.929992
DRS41A,0.780590,1.443244,2.223834
NOH41A,0.436980,1.141678,1.578658
HOM11A,0.715426,1.013241,1.728667
EGG0412A,0.719818,1.003653,1.723471
EHN21B,0.750560,0.990176,1.740736
WDE21A,0.329793,0.964239,1.294032
GOK11A,0.707927,1.084808,1.792735
GAA21D,1.064365,1.067892,2.132257
ALD41A,1.158531,1.028171,2.186702
OSW11A,0.720674,1.008166,1.728840
POM41B,1.060755,1.037890,2.098645
HSB21A,0.381906,1.043991,1.425897
SVH11A,0.723582,1.011864,1.735446
MOH41A,0.693053,0.991613,1.684666
KLT11A,0.731988,1.044679,1.776667
DME41B,0.744100,1.004152,1.748252
LIT41Z,0.420300,2.307739,2.728039
NIE41Z,1.056119,1.045165,2.101284
SRA11A,0.362489,1.029616,1.392105
PAW11A,1.072363,1.019953,2.092316
NHK21A,1.106769,0.971359,2.078128
SIL11A,1.079528,1.003127,2.082655
RON11A,1.076117,1.044860,2.120977
NES11A,0.700763,1.016915,1.717678
MAW21A,1.072414,1.017079,2.089493
REB11A,1.006288,1.108356,2.114644
WAL21B,1.018888,1.019704,2.038592
HIL41A,0.350749,1.005274,1.356023
GLB21A,1.002095,1.029638,2.031733
UW_Hof,0.711365,1.027256,1.738621
SOS22A,1.080895,1.023416,2.104311
PAR41A,1.432751,0.995983,2.428734
WED41A,1.063455,1.026976,2.090431
HLC11A,0.368852,1.030103,1.398955
WAL21D,1.050545,1.000848,2.051393
KZS0241A,0.676011,1.013988,1.689999
EHN41A,0.722309,0.992413,1.714722
HOF31B,0.716955,1.019818,1.736773
KOZ41A,1.062362,1.027598,2.089960
MFV11A,1.093183,0.999398,2.092581
CFU11A,0.357256,1.055713,1.412969
DUR0211A,1.101303,1.017093,2.118396
SGA11A,0.730204,1.034919,1.765123
SOL11A,0.733903,1.041591,1.775494
NHB21D,0.714001,1.031185,1.745186
MON11A,1.066199,1.033006,2.099205
HOF31A,0.733230,1.053483,1.786713
WAL21C,0.382111,1.048326,1.430437
OLI11A,0.784701,1.105139,1.889840
WCK42Z,0.644910,1.037432,1.682342
NST11A,1.030126,0.980079,2.010205
BBG12A,0.638052,0.969656,1.607708
STD11A,0.302278,1.032462,1.334740
IMR41A,0.719299,0.970631,1.689930
EIL11A,1.000184,0.944868,1.945052
WCK41Z,0.982194,0.979314,1.961508
SAC21A,0.962676,1.003808,1.966484
WFL11A,1.473561,0.962574,2.436135
EGG21B,1.065180,0.963880,2.029060
WEN21B,0.693404,0.962378,1.655782
EGS41A,0.663451,0.953190,1.616641
KLL11A,0.316803,1.003861,1.320664
SCO11A,0.734407,1.061858,1.796265
ZWS11A,0.722648,0.998796,1.721444
EHN21A,1.008384,0.963422,1.971806
NEN11A,0.702359,1.002373,1.704732
EHN24A,1.093373,0.981062,2.074435
BRI11A,0.973316,0.993837,1.967153
Koethen_INV_01_02,1.044315,1.003237,2.047552
HOK21A,0.333847,0.947596,1.281443
LWL11A,0.336397,0.976319,1.312716
DRE41A,1.004041,0.953108,1.957149
UWE41B,1.091587,1.041014,2.132601
STA211A,0.732947,0.962286,1.695233
WON21A,0.689234,1.025267,1.714501
KMN11A,1.006777,1.015411,2.022188
KLA11A,0.684729,1.057705,1.742434
EGG21A,1.069135,0.991679,2.060814
FIS11A,0.695801,1.021484,1.717285
SAE22A,0.346642,1.068036,1.414678
UW_Kallmuenz,0.726211,1.026729,1.752940
PAT12A,0.764737,1.002906,1.767643
GUS11A,0.701864,1.013387,1.715251
BRE0141C,0.728277,1.045732,1.774009
SIS11A,1.005177,1.007932,2.013109
NAN21A,1.072348,0.959527,2.031875
BRE0141B,1.049519,0.935437,1.984956
ZHN21D,1.086184,0.953680,2.039864
WEW41A,0.704505,0.946652,1.651157
GRF21A,1.064447,0.990657,2.055104
SGF11A,0.674119,1.107527,1.781646
GAH11B,0.635598,1.022394,1.657992
DRO41A,1.065067,0.999188,2.064255
UND41A,1.047045,0.959144,2.006189
GLE11Z,0.583948,0.931923,1.515871
SDD41B,0.741330,1.007521,1.748851
HDF11A,1.146147,1.096496,2.242643
MAS21A,0.617994,0.999700,1.617694
