janitza,read,write,total
OSL21A,0.228500,0.300429,0.528929
Koethen_INV_03_06,0.220040,0.355797,0.575837
Koethen_INV_01_01,0.188331,0.345005,0.533336
KLA11A,0.232889,0.317522,0.550411
GGT11A,0.181631,0.346728,0.528359
MOL11A,0.203606,0.355794,0.559400
QST41A,0.228159,0.356997,0.585156
ZWS11A,0.222185,0.343609,0.565794
WEN11A,0.213949,0.356033,0.569982
SDD41B,0.205559,0.316739,0.522298
GDL21A,0.219487,0.352470,0.571957
EIS11A,0.215108,0.331754,0.546862
PAW11A,0.198722,0.297332,0.496054
SGA11A,0.211010,0.314113,0.525123
WBK0241A,0.204152,0.343343,0.547495
LEW21B___BESS,0.200415,0.350886,0.551301
CAF41A,0.202305,0.338790,0.541095
ALT11A,0.221297,0.317182,0.538479
SDD41A,0.206147,0.338945,0.545092
MLL11A,0.222137,0.342092,0.564229
MOD11A,0.218761,0.356158,0.574919
GAT41A,0.234623,0.353560,0.588183
GRO11A,0.237867,0.349705,0.587572
OBN11A,0.241575,0.390883,0.632458
LEW_AUX__Trafostation,0.223562,0.363511,0.587073
OLI11A,0.216662,0.351761,0.568423
SRE11A,0.224713,0.341154,0.565867
IMR41A,0.195044,0.341998,0.537042
BOK11A,0.209616,0.325995,0.535611
DUH11A,0.222105,0.340763,0.562868
GAA21D,0.199926,0.336224,0.536150
PAT11A,0.214004,0.286297,0.500301
DEL41Z,0.205189,0.350302,0.555491
PZG11A,0.207885,0.329589,0.537474
EGG21D,0.204566,0.338345,0.542911
LAA21A,0.223675,0.330578,0.554253
GOZ11E,0.207312,0.328233,0.535545
SAE11A,0.222370,0.318756,0.541126
WIL11A,0.207158,0.325977,0.533135
GOE11A,0.191457,0.319501,0.510958
NHB21B,0.154576,0.320001,0.474577
RON12A,0.205184,0.278838,0.484022
WND11A,0.204809,0.317674,0.522483
WFL11A,0.154073,0.269767,0.423840
GUS11A,0.205025,0.320513,0.525538
BRZ11A,0.179406,0.286854,0.466260
MEW11A,0.200878,0.299934,0.500812
UWE41A,0.194476,0.310214,0.504690
NRU13A,0.202527,0.282338,0.484865
NHB21A,0.185051,0.310846,0.495897
EHN41A,0.184176,0.325148,0.509324
KZS0141C,0.186448,0.301849,0.488297
MOK11A,0.196148,0.321323,0.517471
NES11A,0.227010,0.314030,0.541040
ATZ11A,0.209310,0.342420,0.551730
SPA11A,0.181391,0.292717,0.474108
WAL21C,0.205333,0.279027,0.484360
DRO41A,0.200737,0.333106,0.533843
CAX11A,0.193571,0.347162,0.540733
HLC11A,0.195414,0.299353,0.494767
LOK41A,0.223607,0.337434,0.561041
NHB21D,0.221303,0.308126,0.529429
KOD11A,0.210294,0.335368,0.545662
DOR211A,0.209020,0.290253,0.499273
WST41C,0.184176,0.409290,0.593466
OBR11A,0.205160,0.327073,0.532233
LEW11A,0.193654,0.298206,0.491860
WIN21B,0.157796,0.340213,0.498009
GAH11C,0.183103,0.300140,0.483243
SOE41A,0.164297,0.325233,0.489530
EIL11A,0.169926,0.299117,0.469043
OBU11B,0.179981,0.309061,0.489042
NOH41A,0.185236,0.240002,0.425238
SRA11A,0.190186,0.332267,0.522453
ERM11A,0.206091,0.304822,0.510913
ZHN22C,0.194258,0.301373,0.495631
UND41B,0.203600,0.314905,0.518505
POP41A,0.195729,0.360588,0.556317
NRU11A,0.207561,0.331583,0.539144
TPN11A,0.189191,0.285097,0.474288
LGB11A,0.202831,0.278847,0.481678
SOM11A,0.206952,0.394355,0.601307
POL21A,0.192508,0.255670,0.448178
DOG11A,0.205660,0.446210,0.651870
PEL11A,0.161449,0.287487,0.448936
BRI11A,0.170325,0.285468,0.455793
AGD11A,0.218233,0.394369,0.612602
LAA11A,0.163940,0.252975,0.416915
STA11B,0.183333,0.257028,0.440361
POM41B,0.178966,0.307817,0.486783
ZHN22A,0.195252,0.292362,0.487614
ZWO11A,0.198360,0.404474,0.602834
HOG21A,0.213169,0.306129,0.519298
DRS41A,0.185739,0.321273,0.507012
Eggesin03,0.202615,0.312461,0.515076
WZH11A,0.198009,0.317397,0.515406
FIK11A,0.199339,0.307973,0.507312
CHE11A,0.189437,0.315665,0.505102
LET41A,0.165828,0.316420,0.482248
JAR41A,0.161792,0.242214,0.404006
