file,read,parse,total
0,0.077034,0.004032,0.081167
1,0.078977,0.003850,0.082908
2,0.078229,0.003615,0.081916
3,0.082169,0.003488,0.085727
4,0.079300,0.003934,0.083318
5,0.087747,0.003821,0.091663
6,0.106800,0.004401,0.111291
7,0.076720,0.008180,0.085064
8,0.083451,0.003596,0.087136
9,0.088646,0.003441,0.092153
10,0.079223,0.004272,0.083577
11,0.079505,0.003952,0.083536
12,0.085787,0.003575,0.089427
13,0.082246,0.003519,0.085841
14,0.108087,0.003560,0.111724
15,0.078249,0.003897,0.082240
16,0.074055,0.003667,0.077798
17,0.080333,0.003492,0.083893
18,0.082790,0.003516,0.086370
19,0.082838,0.004388,0.087337
20,0.065312,0.003605,0.068987
21,0.066080,0.003579,0.069736
22,0.068751,0.004107,0.072954
23,0.092071,0.003480,0.095624
24,0.075585,0.003844,0.079496
25,0.064468,0.003480,0.068015
26,0.075390,0.004076,0.079541
27,0.072772,0.004201,0.077047
28,0.063479,0.003475,0.067020
29,0.071235,0.004198,0.075512
30,0.076414,0.003713,0.080202
31,0.070695,0.004030,0.074815
32,0.077108,0.003889,0.081090
33,0.064996,0.004548,0.069629
34,0.074513,0.003626,0.078234
35,0.093464,0.004776,0.098418
36,0.084981,0.004172,0.089232
37,0.076251,0.003574,0.079902
38,0.078939,0.004636,0.083716
39,0.088081,0.003492,0.091640
40,0.085576,0.004196,0.089874
41,0.078438,0.003815,0.082350
42,0.084455,0.003825,0.088374
43,0.087727,0.003743,0.091550
44,0.084513,0.006101,0.090835
45,0.108636,0.004094,0.112814
46,0.087706,0.003712,0.091507
47,0.085755,0.004665,0.090551
48,0.073178,0.004056,0.077312
49,0.071785,0.003480,0.075327
50,0.076565,0.003452,0.080080
51,0.074970,0.003476,0.078511
52,0.076156,0.003479,0.079697
53,0.085517,0.003803,0.089403
54,0.065674,0.003737,0.069484
55,0.077612,0.003505,0.081180
56,0.069110,0.003879,0.073077
57,0.078209,0.003454,0.081730
58,0.072234,0.003452,0.075753
59,0.070882,0.003516,0.074464
60,0.070175,0.003611,0.073851
61,0.060861,0.003478,0.064404
62,0.073889,0.003512,0.077473
63,0.071745,0.003637,0.075451
64,0.072168,0.003388,0.075621
65,0.072412,0.003409,0.075884
66,0.071714,0.004261,0.076055
67,0.077133,0.004535,0.081755
68,0.078097,0.003347,0.081508
69,0.070656,0.003504,0.074224
70,0.076976,0.003520,0.080561
71,0.076524,0.004491,0.081097
72,0.083562,0.003422,0.087045
73,0.084912,0.003615,0.088593
74,0.078264,0.003502,0.081837
75,0.063847,0.004209,0.068153
76,0.078379,0.003766,0.082222
77,0.062308,0.004360,0.066747
78,0.072876,0.003906,0.076858
79,0.059947,0.003441,0.063451
80,0.077804,0.004233,0.082116
81,0.083622,0.003498,0.087187
82,0.081672,0.003803,0.085559
83,0.074539,0.004248,0.078868
84,0.079252,0.004072,0.083440
85,0.086493,0.003854,0.090440
86,0.077168,0.003467,0.080698
87,0.064354,0.003818,0.068249
88,0.080770,0.003478,0.084315
89,0.068015,0.004322,0.072414
90,0.077724,0.003469,0.081256
91,0.074327,0.003507,0.077897
92,0.071313,0.003462,0.074839
93,0.077334,0.003424,0.080822
94,0.064143,0.003532,0.067741
95,0.080944,0.003423,0.084429
96,0.073863,0.003433,0.077363
97,0.070946,0.003438,0.074447
98,0.071495,0.003381,0.074947
99,0.063688,0.003957,0.067721
100,0.061008,0.003568,0.064648
101,0.060867,0.003780,0.064718
102,0.061026,0.003472,0.064565
103,0.072475,0.003555,0.076099
104,0.078735,0.003441,0.082242
105,0.071821,0.003439,0.075324
106,0.079757,0.003508,0.083330
107,0.075677,0.003406,0.079147
108,0.075265,0.003619,0.078956
109,0.064866,0.003476,0.068404
110,0.074956,0.003446,0.078467
111,0.081098,0.004014,0.085288
112,0.085166,0.004710,0.089971
113,0.082450,0.003546,0.086063
114,0.097030,0.003460,0.100553
115,0.084783,0.003511,0.088361
116,0.077539,0.003385,0.080988
117,0.062808,0.003798,0.066689
118,0.074542,0.003576,0.078184
119,0.076826,0.003620,0.080516
120,0.073714,0.003773,0.077564
121,0.071550,0.003483,0.075098
122,0.061878,0.003503,0.065443
123,0.077899,0.003522,0.081488
124,0.073098,0.003482,0.076644
125,0.070869,0.003483,0.074418
126,0.069868,0.003495,0.073425
127,0.060271,0.003577,0.063921
128,0.077484,0.003911,0.081475
129,0.085867,0.003474,0.089412
130,0.076961,0.004085,0.081124
131,0.068207,0.003920,0.072211
132,0.080871,0.003568,0.084504
133,0.055149,0.004646,0.059887
134,0.071493,0.005119,0.076694
135,0.063921,0.003455,0.067442
136,0.066485,0.004127,0.070755
137,0.076573,0.003472,0.080110
138,0.079797,0.003506,0.083368
139,0.075597,0.004082,0.079749
140,0.075398,0.003436,0.078901
141,0.075275,0.003599,0.078943
142,0.067477,0.003909,0.071459
143,0.062987,0.003513,0.066563
144,0.077446,0.003543,0.081055
145,0.076724,0.003468,0.080256
146,0.073455,0.003498,0.077019
147,0.075528,0.003528,0.079121
148,0.075997,0.003396,0.079456
149,0.073406,0.003518,0.076993
150,0.077042,0.003530,0.080636
151,0.078752,0.003562,0.082377
152,0.077622,0.003476,0.081163
153,0.081385,0.003526,0.084982
154,0.078111,0.003525,0.081701
155,0.078520,0.003403,0.081984
156,0.077875,0.003412,0.081350
157,0.075946,0.003448,0.079460
158,0.076651,0.003447,0.080162
159,0.070097,0.003842,0.074016
160,0.077739,0.003771,0.081590
161,0.079643,0.003622,0.083334
162,0.082563,0.003494,0.086122
163,0.069575,0.003500,0.073139
164,0.088939,0.003743,0.092757
165,0.078577,0.003535,0.082175
166,0.078782,0.004169,0.083026
167,0.072535,0.003535,0.076136
168,0.068269,0.003451,0.071795
169,0.098429,0.003555,0.102050
170,0.086039,0.003599,0.089750
171,0.080124,0.003448,0.083638
172,0.079872,0.003523,0.083456
173,0.082755,0.003447,0.086266
174,0.078539,0.003733,0.082349
175,0.080696,0.003555,0.084315
176,0.078120,0.003467,0.081655
177,0.079191,0.003788,0.083048
178,0.075333,0.003447,0.078846
179,0.078197,0.003467,0.081727
180,0.076318,0.003457,0.079836
181,0.079170,0.003501,0.082734
182,0.076510,0.003431,0.080006
183,0.066030,0.003508,0.069614
184,0.075363,0.003477,0.078902
185,0.069366,0.006261,0.075713
186,0.081552,0.003500,0.085122
187,0.066225,0.003459,0.069749
188,0.076021,0.003486,0.079570
189,0.076703,0.003477,0.080255
190,0.085445,0.003390,0.088900
191,0.088140,0.003534,0.091739
192,0.078562,0.003483,0.082109
193,0.081049,0.004194,0.085345
194,0.083030,0.004428,0.087573
195,0.078988,0.004315,0.083396
196,0.082405,0.004257,0.086748
197,0.080894,0.004389,0.085370
198,0.069507,0.003597,0.073171
199,0.079585,0.003802,0.083472
200,0.077503,0.003481,0.081054
201,0.082372,0.004605,0.087070
202,0.081894,0.003695,0.085678
203,0.085636,0.004273,0.089990
204,0.066024,0.004254,0.070373
205,0.076290,0.004569,0.080968
206,0.086350,0.003767,0.090192
207,0.085025,0.003546,0.088639
208,0.083872,0.003549,0.087487
209,0.068847,0.004725,0.073662
210,0.074285,0.004388,0.078757
211,0.070584,0.004228,0.074893
212,0.081312,0.003442,0.084819
213,0.078873,0.003527,0.082470
214,0.079063,0.003859,0.083002
215,0.077310,0.003529,0.080904
216,0.064689,0.004073,0.068843
217,0.083592,0.003825,0.087491
218,0.070418,0.003550,0.074039
219,0.076747,0.003466,0.080279
220,0.074114,0.003845,0.078041
221,0.069760,0.003450,0.073274
222,0.080875,0.003519,0.084458
223,0.065770,0.004436,0.070280
224,0.064934,0.003499,0.068501
225,0.076964,0.004726,0.081764
226,0.079650,0.003508,0.083221
227,0.085640,0.003547,0.089253
228,0.075431,0.003915,0.079420
229,0.067352,0.003459,0.070876
230,0.070510,0.004030,0.074635
231,0.076623,0.003472,0.080167
232,0.107662,0.004208,0.111956
233,0.073845,0.003872,0.077786
234,0.080353,0.003712,0.084135
235,0.077049,0.003612,0.080730
236,0.081557,0.003483,0.085108
237,0.082472,0.003630,0.086166
238,0.080701,0.003418,0.084181
239,0.067719,0.003441,0.071225
240,0.080106,0.003707,0.083886
241,0.070870,0.004215,0.075162
242,0.081772,0.003636,0.085494
243,0.080886,0.003479,0.084429
244,0.075084,0.003477,0.078626
245,0.078468,0.003526,0.082057
246,0.064044,0.003478,0.067588
247,0.066166,0.003488,0.069717
248,0.078084,0.004326,0.082488
249,0.085818,0.003475,0.089358
250,0.064234,0.004319,0.068634
251,0.077485,0.003444,0.080992
252,0.080076,0.003557,0.083697
253,0.075772,0.003519,0.079358
254,0.079835,0.004313,0.084223
255,0.070526,0.004200,0.074803
256,0.082494,0.003512,0.086072
257,0.075891,0.003497,0.079450
258,0.078392,0.003467,0.081923
259,0.080921,0.003414,0.084416
260,0.061336,0.003634,0.065060
261,0.080505,0.003513,0.084084
262,0.076991,0.003476,0.080529
263,0.080371,0.003511,0.083945
264,0.087770,0.003533,0.091369
265,0.076730,0.003576,0.080372
266,0.065439,0.003573,0.069078
267,0.076340,0.003838,0.080254
268,0.069972,0.003425,0.073495
269,0.067333,0.004191,0.071599
270,0.073917,0.003490,0.077472
271,0.077301,0.003433,0.080798
272,0.075174,0.003460,0.078699
273,0.074800,0.003647,0.078512
274,0.078664,0.003474,0.082201
275,0.079793,0.003517,0.083374
276,0.074672,0.003493,0.078225
277,0.074716,0.003474,0.078254
278,0.075136,0.003413,0.078613
279,0.082002,0.003821,0.085896
280,0.082099,0.003449,0.085617
281,0.068550,0.003466,0.072077
282,0.077023,0.003554,0.080640
283,0.079026,0.003658,0.082774
284,0.062951,0.003772,0.066800
285,0.078021,0.003454,0.081537
286,0.073255,0.003879,0.077214
287,0.080074,0.004303,0.084449
288,0.080065,0.003445,0.083576
289,0.079397,0.003417,0.082877
290,0.075377,0.004422,0.079881
291,0.073083,0.003502,0.076655
292,0.078300,0.003464,0.081826
293,0.076589,0.003510,0.080168
294,0.063315,0.003789,0.067185
295,0.068307,0.003529,0.071901
296,0.072968,0.003520,0.076550
297,0.079826,0.004259,0.084162
298,0.075394,0.003769,0.079235
299,0.066825,0.003871,0.070769
300,0.076828,0.003779,0.080686
301,0.073773,0.003554,0.077393
302,0.090019,0.003435,0.093565
303,0.075939,0.004212,0.080230
304,0.073092,0.003782,0.076951
305,0.078630,0.003818,0.082531
306,0.079369,0.003988,0.083433
307,0.076199,0.004385,0.080660
308,0.067605,0.003397,0.071084
309,0.081954,0.003535,0.085554
310,0.068608,0.003499,0.072208
311,0.078077,0.003586,0.081736
312,0.085301,0.003424,0.088789
313,0.088115,0.003425,0.091602
314,0.077959,0.003688,0.081720
315,0.080260,0.003536,0.083872
316,0.069422,0.003502,0.072988
317,0.076506,0.003559,0.080128
318,0.076994,0.003409,0.080468
319,0.076268,0.003514,0.079843
320,0.076409,0.004181,0.080664
321,0.077344,0.003452,0.080860
322,0.082736,0.003573,0.086375
323,0.080611,0.004474,0.085163
324,0.078925,0.003453,0.082445
325,0.077671,0.003551,0.081285
326,0.075597,0.003538,0.079197
327,0.087358,0.003728,0.091156
328,0.097247,0.004258,0.101594
329,0.090188,0.003468,0.093747
330,0.085285,0.004186,0.089545
331,0.078177,0.003499,0.081738
332,0.091159,0.004244,0.095485
333,0.084427,0.004329,0.088833
