file,read,parse,total
0,0.102751,0.011925,0.114764
1,0.480817,0.011721,0.492614
2,0.109273,0.011828,0.121182
3,0.110101,0.022460,0.132637
4,0.103158,0.011778,0.115012
5,0.513581,0.015853,0.529520
6,0.112787,0.011727,0.124595
7,0.114653,0.011957,0.126693
8,0.455772,0.012697,0.468565
9,0.079488,0.021981,0.101550
10,0.115799,0.011750,0.127625
11,0.072788,0.012083,0.084946
12,0.107600,0.011767,0.119441
13,0.107636,0.011985,0.119700
14,0.122812,0.025471,0.148363
15,0.132219,0.012376,0.144679
16,0.477021,0.012498,0.489605
17,0.129565,0.014368,0.144022
18,0.126182,0.012659,0.138921
19,0.103218,0.012013,0.115369
20,0.479050,0.022604,0.501731
21,0.105222,0.011551,0.116853
22,0.107723,0.011449,0.119253
23,0.107659,0.011255,0.118990
24,0.494483,0.012550,0.507134
25,0.111428,0.011605,0.123110
26,0.112934,0.011606,0.124627
27,0.112355,0.011381,0.123814
28,0.113029,0.011350,0.124453
29,0.427379,0.012172,0.439630
30,0.109929,0.011460,0.121465
31,0.074768,0.021982,0.096833
32,0.465546,0.011862,0.477490
33,0.097892,0.011686,0.109654
34,0.112068,0.013311,0.125470
35,0.105787,0.011532,0.117396
36,0.103053,0.021761,0.124913
37,0.113093,0.011631,0.124800
38,0.456348,0.011911,0.468338
39,0.109890,0.011776,0.121747
40,0.518886,0.012129,0.531098
41,0.083475,0.011704,0.095281
42,0.126035,0.024398,0.150514
43,0.438007,0.016197,0.454295
44,0.496458,0.012332,0.508878
45,0.119642,0.011871,0.131622
46,0.126112,0.011487,0.137686
47,0.114273,0.023345,0.137770
48,0.433215,0.011949,0.445244
49,0.511955,0.011204,0.523239
50,0.130150,0.012730,0.143076
51,0.114998,0.012241,0.127326
52,0.131645,0.012600,0.144329
53,0.507118,0.023961,0.531162
54,0.150457,0.012096,0.162633
55,0.449909,0.012769,0.462761
56,0.136261,0.011806,0.148146
57,0.117590,0.011907,0.129581
58,0.133508,0.022907,0.156500
59,0.128846,0.012658,0.141597
60,0.109037,0.013645,0.122803
61,0.119101,0.011792,0.130973
62,0.114148,0.012410,0.126644
63,0.121164,0.014080,0.135333
64,0.477809,0.024245,0.502137
65,0.099052,0.013170,0.112308
66,0.421681,0.014371,0.436209
67,0.121842,0.017477,0.139417
68,0.512876,0.012041,0.525001
69,0.114671,0.024154,0.138916
70,0.419559,0.011917,0.431555
71,0.459483,0.012282,0.471850
72,0.118560,0.012566,0.131210
73,0.118469,0.011843,0.130393
74,0.074115,0.011926,0.086118
75,0.114674,0.023559,0.138318
76,0.116680,0.012376,0.129136
77,0.106553,0.011921,0.118551
78,0.075413,0.011880,0.087369
79,0.470678,0.012405,0.483162
80,0.111291,0.023133,0.134503
81,0.423966,0.012341,0.436395
82,0.420878,0.012112,0.433064
83,0.102335,0.012355,0.114776
84,0.481127,0.013691,0.494909
85,0.118812,0.020234,0.139163
86,0.132746,0.025650,0.158512
87,0.136204,0.013669,0.149976
88,0.426132,0.013305,0.439535
89,0.468285,0.012328,0.480716
90,0.105121,0.012653,0.117856
91,0.100494,0.012039,0.112611
92,0.112345,0.023145,0.135568
93,0.520721,0.014190,0.535010
94,0.113094,0.011970,0.125154
95,0.469425,0.011688,0.481204
96,0.474475,0.011713,0.486262
97,0.110715,0.011247,0.122036
98,0.471527,0.014829,0.486441
99,0.423175,0.012355,0.435611
100,0.113161,0.011594,0.124832
101,0.476786,0.011590,0.488466
102,0.101208,0.022231,0.123515
103,0.114960,0.012395,0.127435
104,0.110274,0.011677,0.122029
105,0.116854,0.014678,0.131638
106,0.122739,0.011453,0.134266
107,0.079156,0.011604,0.090836
108,0.083091,0.021270,0.104465
109,0.111586,0.011446,0.123112
110,0.109517,0.013142,0.122787
111,0.113084,0.012137,0.125306
112,0.102652,0.012091,0.114839
113,0.444648,0.021841,0.466568
114,0.107278,0.011428,0.118781
115,0.113268,0.012293,0.125642
116,0.109296,0.012476,0.121853
117,0.102054,0.012031,0.114160
118,0.107883,0.011487,0.119445
119,0.463783,0.023064,0.486927
120,0.110444,0.011597,0.122120
121,0.118336,0.013599,0.132019
122,0.426648,0.011763,0.438499
123,0.108033,0.012163,0.120277
124,0.505096,0.022657,0.527831
125,0.099834,0.011468,0.111379
126,0.479356,0.011820,0.491263
127,0.123466,0.011515,0.135054
128,0.477350,0.011573,0.488997
129,0.429116,0.012027,0.441221
130,0.113083,0.022281,0.135442
131,0.419906,0.011917,0.431903
132,0.081387,0.011904,0.093392
133,0.106227,0.012157,0.118458
134,0.466266,0.012785,0.479142
135,0.102827,0.022027,0.124946
136,0.475169,0.012083,0.487343
137,0.464883,0.012178,0.477139
138,0.112790,0.011628,0.124494
139,0.113255,0.014200,0.127538
140,0.114733,0.012519,0.127329
141,0.507542,0.023105,0.530723
142,0.113901,0.012299,0.126279
143,0.126872,0.012566,0.139533
144,0.133070,0.012018,0.145237
145,0.122997,0.013176,0.136262
