file,read,parse,total
0,0.099827,0.003179,0.103102
1,0.087441,0.003172,0.090694
2,0.085614,0.003705,0.089415
3,0.089438,0.004183,0.093725
4,0.095488,0.003314,0.098928
5,0.080855,0.004349,0.085331
6,0.097696,0.003075,0.100845
7,0.095221,0.004039,0.099402
8,0.099220,0.003073,0.102375
9,0.092907,0.003216,0.096212
10,0.099708,0.003209,0.103025
11,0.092237,0.003274,0.095596
12,0.091210,0.004111,0.095406
13,0.104177,0.003209,0.107468
14,0.086111,0.003718,0.089917
15,0.087208,0.003516,0.090857
16,0.091557,0.003052,0.094694
17,0.074230,0.004062,0.078385
18,0.087641,0.003234,0.090950
19,0.094170,0.003202,0.097483
20,0.110811,0.003650,0.114565
21,0.074100,0.003387,0.077571
22,0.080641,0.003038,0.083757
23,0.086143,0.003070,0.089292
24,0.088627,0.004346,0.093100
25,0.119233,0.003883,0.123239
26,0.090359,0.003439,0.093889
27,0.092586,0.003099,0.095759
28,0.097518,0.003108,0.100705
29,0.081451,0.003130,0.084660
30,0.088018,0.003334,0.091432
31,0.090303,0.003096,0.093497
32,0.117300,0.003938,0.121334
33,0.092017,0.003401,0.095502
34,0.092330,0.003816,0.096239
35,0.093518,0.003418,0.097042
36,0.095996,0.003961,0.100067
37,0.093008,0.003142,0.096226
38,0.095633,0.003252,0.098974
39,0.094973,0.003105,0.098151
40,0.079627,0.003072,0.082775
41,0.098430,0.006584,0.105107
42,0.113533,0.003309,0.116929
43,0.096347,0.003092,0.099513
44,0.089830,0.003113,0.093018
45,0.087374,0.003946,0.091412
46,0.090254,0.003157,0.093485
47,0.083868,0.003399,0.087349
48,0.081417,0.003689,0.085198
49,0.100323,0.005157,0.105608
50,0.103167,0.003151,0.106400
51,0.081133,0.003793,0.085003
52,0.080487,0.002963,0.083515
53,0.084969,0.003007,0.088041
54,0.087688,0.002959,0.090719
55,0.077537,0.003642,0.081260
56,0.081695,0.003827,0.085624
57,0.095229,0.003170,0.098476
58,0.094893,0.003595,0.098564
59,0.069826,0.003112,0.073032
60,0.082542,0.003189,0.085818
61,0.101347,0.003103,0.104572
62,0.086734,0.003544,0.090362
63,0.085359,0.004334,0.089809
64,0.079137,0.003910,0.083139
65,0.089556,0.005047,0.094746
66,0.092756,0.004116,0.096980
67,0.087248,0.003286,0.090624
68,0.093842,0.008953,0.103008
69,0.091048,0.004580,0.095804
70,0.084011,0.004240,0.088352
71,0.086363,0.003688,0.090163
72,0.084505,0.003706,0.088299
73,0.089364,0.003207,0.092658
74,0.082802,0.002965,0.085833
75,0.073084,0.003000,0.076162
76,0.085557,0.003646,0.089285
77,0.087180,0.003388,0.090687
78,0.065227,0.003310,0.068615
79,0.085212,0.004290,0.089606
80,0.089959,0.002976,0.093008
81,0.072244,0.005918,0.078265
82,0.079619,0.003959,0.083685
83,0.082743,0.003104,0.085918
84,0.092665,0.004129,0.096897
85,0.092271,0.003610,0.095964
86,0.086717,0.003427,0.090225
87,0.093155,0.002944,0.096164
88,0.095301,0.003009,0.098377
89,0.106339,0.002905,0.109313
90,0.084367,0.003039,0.087478
91,0.082236,0.003527,0.085840
92,0.089614,0.004336,0.094065
93,0.090345,0.003605,0.094032
94,0.098150,0.003281,0.101515
95,0.091179,0.004160,0.095441
96,0.084764,0.003532,0.088405
97,0.076876,0.003867,0.080837
98,0.070149,0.002912,0.073133
99,0.086037,0.003014,0.089117
100,0.079293,0.002965,0.082325
101,0.082170,0.002957,0.085192
102,0.084478,0.003751,0.088306
103,0.081513,0.003018,0.084596
104,0.088344,0.003095,0.091516
105,0.084442,0.003027,0.087537
106,0.080885,0.004211,0.085178
107,0.069268,0.003197,0.072556
108,0.088557,0.003548,0.092195
109,0.104461,0.003195,0.107764
110,0.075862,0.003169,0.079109
111,0.084743,0.003032,0.087843
112,0.080952,0.003044,0.084130
113,0.084153,0.003225,0.087458
114,0.079542,0.003647,0.083274
115,0.074298,0.002907,0.077272
