file,read,parse,total
0,0.944698,0.031693,0.976807
1,0.936745,0.020327,0.957441
2,0.524805,0.019449,0.544608
3,0.574457,0.021242,0.596111
4,0.617544,0.042237,0.660142
5,0.883045,0.023198,0.906641
6,0.225308,0.021617,0.247492
7,0.883581,0.022776,0.906725
8,0.219568,0.020729,0.240675
9,0.947909,0.039643,0.987963
10,0.561108,0.019855,0.581355
11,0.918116,0.020201,0.938683
12,0.576185,0.021868,0.598431
13,0.561467,0.019336,0.581124
14,0.558239,0.029386,0.587943
15,0.533199,0.018261,0.551786
16,0.968552,0.019951,0.988852
17,0.203346,0.019917,0.223597
18,0.203727,0.019915,0.223970
19,0.560584,0.032216,0.593144
20,0.572126,0.021475,0.594013
21,0.927816,0.023558,0.951784
22,0.579628,0.020980,0.600937
23,0.590583,0.036356,0.627625
24,0.534481,0.029749,0.564779
25,0.585915,0.020856,0.607126
26,0.589690,0.030851,0.621204
27,0.586140,0.022726,0.609246
28,0.596250,0.067877,0.664734
29,0.643102,0.024481,0.667975
30,0.228096,0.028104,0.256646
31,0.223698,0.028652,0.252774
32,0.607494,0.038784,0.646656
33,0.573302,0.048272,0.621951
34,0.212493,0.022294,0.235100
35,0.574303,0.019912,0.594557
36,0.521753,0.021246,0.543293
37,0.587565,0.035442,0.623469
38,0.837178,0.045529,0.883024
39,0.531655,0.019243,0.551371
40,0.909506,0.023419,0.933372
41,0.570992,0.020864,0.592192
42,0.234186,0.037407,0.271973
43,0.024351,0.018990,0.043668
44,0.512705,0.021005,0.534092
45,0.577154,0.020842,0.598332
46,0.908059,0.021027,0.929434
47,0.923479,0.034190,0.958014
48,0.524889,0.022132,0.547367
49,0.568861,0.020448,0.589648
50,0.204405,0.022587,0.227319
51,0.586576,0.019871,0.606763
52,0.569339,0.047071,0.617095
53,0.262026,0.024506,0.286971
54,0.589755,0.023084,0.613301
55,0.519059,0.020657,0.540007
56,0.825546,0.022460,0.848322
57,0.559623,0.033768,0.593947
58,0.900796,0.020383,0.921633
59,0.914358,0.018128,0.932804
60,0.090843,0.019415,0.110580
61,0.517424,0.039149,0.556912
62,0.214819,0.022828,0.238045
63,0.212578,0.023131,0.236083
64,0.521835,0.019938,0.542075
65,0.534554,0.031779,0.566890
66,0.512739,0.032960,0.546024
67,0.200617,0.019157,0.220097
68,0.564521,0.023817,0.588650
69,0.993373,0.029226,0.023040
70,0.227645,0.026839,0.254885
71,0.232361,0.035023,0.267691
72,0.215404,0.032119,0.248044
73,0.982717,0.021429,0.004570
74,0.561449,0.022216,0.584000
75,0.213646,0.022938,0.236959
76,0.867681,0.029813,0.897803
77,0.103814,0.020274,0.124458
78,0.934244,0.018717,0.953275
79,0.215337,0.023954,0.239658
80,0.568540,0.032741,0.601619
81,0.219551,0.025721,0.245885
82,0.931913,0.025952,0.958388
83,0.869223,0.020555,0.890181
84,0.954989,0.022028,0.977497
85,0.538649,0.033181,0.572193
86,0.219387,0.020065,0.240221
87,0.095376,0.021472,0.117198
88,0.587211,0.019989,0.607544
89,0.910107,0.020592,0.931034
90,0.580666,0.033535,0.614571
91,0.573524,0.028578,0.602517
92,0.606543,0.021589,0.628461
93,0.186730,0.019107,0.206160
94,0.088610,0.018658,0.107608
95,0.502840,0.029182,0.532338
96,0.231238,0.021220,0.252888
97,0.915866,0.022515,0.938742
98,0.207315,0.022590,0.230247
99,0.203166,0.036512,0.240001
