file,read,parse,total
0,0.081929,0.003390,0.085421
1,0.080213,0.003442,0.083745
2,0.085171,0.003922,0.089183
3,0.093574,0.002934,0.096572
4,0.085195,0.003267,0.088532
5,0.066415,0.003262,0.069753
6,0.079138,0.002977,0.082180
7,0.073082,0.003118,0.076269
8,0.078471,0.003780,0.082328
9,0.084925,0.003057,0.088052
10,0.083919,0.003194,0.087188
11,0.081524,0.003023,0.084618
12,0.074140,0.003358,0.077581
13,0.076311,0.003018,0.079475
14,0.078639,0.003020,0.081728
15,0.089986,0.002995,0.093046
16,0.070577,0.002989,0.073631
17,0.083655,0.003765,0.087498
18,0.081543,0.003008,0.084616
19,0.082585,0.003138,0.085801
20,0.077423,0.003029,0.080521
21,0.090768,0.003279,0.094139
22,0.087296,0.003143,0.090510
23,0.088937,0.003279,0.092300
24,0.078254,0.003012,0.081333
25,0.084267,0.003516,0.087864
26,0.087025,0.003047,0.090144
27,0.084023,0.003122,0.087221
28,0.084872,0.003174,0.088140
29,0.083415,0.003069,0.086554
30,0.082495,0.003257,0.085835
31,0.072041,0.002989,0.075097
32,0.084130,0.003399,0.087607
33,0.081509,0.003305,0.084898
34,0.092612,0.003782,0.096468
35,0.071897,0.002996,0.074958
36,0.079619,0.003396,0.083108
37,0.083468,0.003189,0.086732
38,0.075372,0.002980,0.078477
39,0.082023,0.003099,0.085188
40,0.080807,0.003733,0.084618
41,0.082425,0.003054,0.085542
42,0.086979,0.003286,0.090351
43,0.074439,0.002963,0.077471
44,0.071536,0.003201,0.074813
45,0.086348,0.003740,0.090168
46,0.079390,0.003541,0.083007
47,0.082559,0.003030,0.085656
48,0.069072,0.003317,0.072467
49,0.084788,0.003002,0.087858
50,0.087544,0.003356,0.090971
51,0.081613,0.002973,0.084652
52,0.076813,0.003320,0.080216
53,0.082938,0.003735,0.086753
54,0.072016,0.003080,0.075166
55,0.075615,0.003124,0.078812
56,0.070880,0.003308,0.074264
57,0.084315,0.002993,0.087379
58,0.082831,0.003162,0.086067
59,0.071850,0.003218,0.075143
60,0.081104,0.003862,0.085057
61,0.079610,0.003789,0.083480
62,0.075385,0.003104,0.078559
63,0.083984,0.003791,0.087857
64,0.081502,0.003621,0.085194
65,0.079951,0.003028,0.083046
66,0.080607,0.003091,0.083772
67,0.080633,0.003067,0.083769
68,0.073860,0.003005,0.076935
69,0.076823,0.003054,0.079948
70,0.079749,0.003021,0.082842
71,0.074810,0.003028,0.077905
72,0.081866,0.003345,0.085293
73,0.080924,0.003018,0.084006
74,0.077461,0.003521,0.081069
75,0.088792,0.002976,0.091834
76,0.072520,0.002967,0.075552
77,0.081011,0.002957,0.084035
78,0.079763,0.003357,0.083208
79,0.086054,0.003130,0.089257
80,0.081223,0.002997,0.084292
81,0.081791,0.003206,0.085066
82,0.081948,0.003714,0.085738
83,0.081265,0.003043,0.084370
84,0.074095,0.003770,0.077942
85,0.077025,0.003766,0.080868
86,0.089640,0.003712,0.093428
87,0.088744,0.003813,0.092635
88,0.081874,0.002957,0.084901
89,0.084054,0.003980,0.088110
90,0.080706,0.003083,0.083875
91,0.083012,0.002910,0.085990
92,0.070961,0.003235,0.074272
93,0.084801,0.002998,0.087862
94,0.077769,0.003658,0.081505
95,0.078820,0.003213,0.082113
96,0.084764,0.003024,0.087856
97,0.086447,0.003713,0.090240
98,0.079340,0.003733,0.083151
99,0.079087,0.003718,0.082886
100,0.066064,0.003107,0.069244
101,0.098638,0.003874,0.102596
102,0.081679,0.003180,0.084936
103,0.070059,0.003150,0.073281
104,0.084171,0.003713,0.088005
105,0.075891,0.003117,0.079087
106,0.097048,0.003042,0.100156
107,0.077412,0.003284,0.080777
108,0.082496,0.002986,0.085556
109,0.077749,0.003078,0.080891
110,0.082375,0.003803,0.086252
111,0.080035,0.003000,0.083102
112,0.070898,0.004194,0.075181
113,0.083172,0.003297,0.086563
114,0.091321,0.003230,0.094633
115,0.096490,0.003038,0.099599
116,0.084552,0.003704,0.088349
117,0.075363,0.003059,0.078490
118,0.086937,0.002949,0.089955
119,0.065303,0.003112,0.068483
120,0.082573,0.003736,0.086384
121,0.085844,0.003059,0.088971
122,0.081492,0.002920,0.084478
123,0.068779,0.003027,0.071890
124,0.079781,0.002966,0.082811
125,0.083600,0.002881,0.086541
126,0.094072,0.003087,0.097233
127,0.080828,0.003167,0.084070
128,0.084047,0.002971,0.087096
129,0.083655,0.003108,0.086828
130,0.086653,0.003315,0.090054
131,0.080352,0.003961,0.084400
132,0.078642,0.004373,0.083110
133,0.088024,0.003069,0.091159
134,0.093638,0.003044,0.096752
135,0.072790,0.003044,0.075898
136,0.087084,0.002999,0.090151
137,0.093595,0.005228,0.098936
138,0.093394,0.003424,0.096910
139,0.077245,0.003237,0.080553
140,0.082006,0.003017,0.085089
141,0.082020,0.003100,0.085185
142,0.084837,0.003724,0.088638
143,0.093157,0.002962,0.096183
144,0.089108,0.003014,0.092187
145,0.094255,0.003079,0.097402
146,0.093460,0.003103,0.096627
147,0.086409,0.003002,0.089481
148,0.085381,0.002981,0.088429
149,0.083923,0.003661,0.087663
150,0.082951,0.003633,0.086655
151,0.081694,0.003532,0.085303
152,0.081129,0.003606,0.084801
153,0.083897,0.003000,0.086963
154,0.086040,0.002936,0.089038
155,0.066793,0.003325,0.070197
156,0.081325,0.003140,0.084532
157,0.081402,0.003740,0.085219
158,0.081564,0.003204,0.084838
159,0.080256,0.002933,0.083261
160,0.068369,0.003888,0.072344
161,0.071481,0.003780,0.075349
162,0.083260,0.002969,0.086291
163,0.081274,0.003669,0.085069
164,0.078451,0.003008,0.081528
165,0.089005,0.003137,0.092209
166,0.083407,0.003165,0.086645
167,0.081465,0.004071,0.085635
168,0.104599,0.003542,0.108234
169,0.086922,0.003966,0.090970
170,0.082204,0.003145,0.085425
171,0.104525,0.003202,0.107812
172,0.087172,0.003192,0.090441
173,0.088249,0.002992,0.091309
174,0.083394,0.003109,0.086573
175,0.088954,0.003885,0.092924
176,0.087560,0.003958,0.091626
177,0.100386,0.003095,0.103569
178,0.075838,0.003983,0.079917
179,0.105708,0.004425,0.110241
180,0.104803,0.003358,0.108259
181,0.087964,0.003174,0.091215
182,0.089221,0.003019,0.092319
183,0.089232,0.003024,0.092324
184,0.102477,0.003794,0.106371
185,0.089387,0.003776,0.093251
186,0.075475,0.003139,0.078687
187,0.105176,0.003622,0.109066
188,0.111259,0.003049,0.114385
189,0.086661,0.003619,0.090375
190,0.080385,0.003392,0.083848
191,0.079957,0.003101,0.083132
192,0.100981,0.003876,0.104937
193,0.092290,0.003158,0.095523
194,0.084654,0.003142,0.087872
195,0.088132,0.004148,0.092372
196,0.079923,0.003054,0.083054
197,0.089035,0.003836,0.092975
198,0.094120,0.004316,0.098588
199,0.084219,0.006250,0.090576
200,0.089706,0.003534,0.093322
201,0.096591,0.003119,0.099790
202,0.082567,0.003818,0.086470
203,0.088623,0.003093,0.091788
204,0.087346,0.005047,0.092485
205,0.120823,0.003444,0.124351
206,0.096895,0.003422,0.100414
207,0.100096,0.002942,0.103126
208,0.077119,0.003585,0.080797
209,0.090868,0.003074,0.094014
210,0.085494,0.003066,0.088630
211,0.089350,0.004106,0.093566
212,0.104333,0.003239,0.107660
213,0.093852,0.003095,0.097020
214,0.088781,0.003299,0.092176
215,0.089135,0.003044,0.092247
216,0.095885,0.003089,0.099056
217,0.085628,0.003815,0.089528
218,0.086124,0.003346,0.089561
219,0.086789,0.003908,0.090790
220,0.087244,0.003605,0.090928
221,0.092849,0.003289,0.096213
222,0.114213,0.003126,0.117410
223,0.089871,0.004158,0.094138
224,0.074383,0.003915,0.078389
225,0.081231,0.003633,0.084981
226,0.078611,0.003130,0.081825
227,0.094555,0.004165,0.098810
228,0.088948,0.003524,0.092553
229,0.106434,0.003317,0.109826
230,0.089765,0.003058,0.092891
231,0.085671,0.003870,0.089620
232,0.081881,0.003042,0.084993
233,0.084246,0.002988,0.087300
234,0.083459,0.003048,0.086587
235,0.086111,0.003787,0.089987
236,0.085755,0.003100,0.088930
237,0.091798,0.003314,0.095206
238,0.092822,0.003949,0.096914
239,0.087475,0.003778,0.091335
240,0.091567,0.006444,0.098121
241,0.120357,0.003781,0.124223
242,0.086167,0.005574,0.091874
243,0.069302,0.003236,0.072646
244,0.084574,0.003020,0.087670
245,0.096207,0.003964,0.100335
246,0.103214,0.003542,0.106843
247,0.077565,0.003399,0.081049
248,0.090233,0.004052,0.094406
249,0.109973,0.003263,0.113320
250,0.097829,0.003023,0.100915
251,0.099989,0.003290,0.103362
252,0.086510,0.004273,0.090878
253,0.085612,0.003251,0.088940
254,0.070386,0.003126,0.073591
255,0.075926,0.002935,0.078921
256,0.097650,0.003079,0.100799
257,0.096500,0.003723,0.100299
258,0.089187,0.003809,0.093095
259,0.086740,0.003261,0.090078
260,0.084066,0.003004,0.087136
261,0.088168,0.003084,0.091320
262,0.083287,0.003457,0.086819
263,0.080076,0.003087,0.083228
264,0.083507,0.003192,0.086770
265,0.075939,0.003112,0.079121
266,0.080764,0.002952,0.083788
267,0.083244,0.003685,0.087016
268,0.084146,0.002928,0.087149
269,0.080408,0.003096,0.083571
270,0.074700,0.003229,0.078005
271,0.078613,0.003197,0.081888
272,0.076640,0.003114,0.079828
273,0.084451,0.003564,0.088093
274,0.082479,0.003114,0.085663
275,0.089110,0.002978,0.092156
276,0.089274,0.003022,0.092362
277,0.087151,0.002961,0.090177
278,0.084465,0.003024,0.087559
279,0.089764,0.003469,0.093320
280,0.093042,0.002933,0.096040
281,0.087990,0.002909,0.090992
282,0.088014,0.003128,0.091237
283,0.084954,0.003317,0.088354
284,0.074216,0.003268,0.077561
285,0.085462,0.003759,0.089299
286,0.071782,0.003082,0.074931
287,0.082132,0.003684,0.085893
288,0.081130,0.003571,0.084795
289,0.090169,0.002960,0.093191
290,0.081954,0.003937,0.085982
291,0.084815,0.003301,0.088193
292,0.085878,0.003118,0.089064
293,0.076324,0.003064,0.079452
294,0.070328,0.002923,0.073313
295,0.078263,0.002980,0.081304
296,0.084645,0.003232,0.087946
297,0.076741,0.003103,0.079916
298,0.068734,0.003236,0.072047
299,0.081196,0.003030,0.084290
300,0.079016,0.003012,0.082092
301,0.068546,0.003833,0.072455
302,0.078357,0.003495,0.081926
303,0.081689,0.003014,0.084768
304,0.086756,0.003013,0.089833
305,0.070242,0.003137,0.073448
306,0.088448,0.003027,0.091539
307,0.082731,0.003017,0.085812
308,0.075515,0.003276,0.078857
309,0.081377,0.003171,0.084613
310,0.081671,0.003906,0.085663
311,0.086165,0.003623,0.089907
312,0.082882,0.003594,0.086563
313,0.082906,0.002992,0.085963
314,0.085894,0.003428,0.089413
315,0.090241,0.003021,0.093334
316,0.087120,0.003526,0.090724
317,0.079874,0.003137,0.083080
318,0.074771,0.003023,0.077859
319,0.088406,0.002986,0.091455
320,0.081679,0.003086,0.084835
321,0.081384,0.003002,0.084450
322,0.073881,0.003405,0.077359
323,0.081166,0.003024,0.084267
324,0.070913,0.003147,0.074139
325,0.087173,0.002999,0.090236
326,0.072218,0.003073,0.075353
327,0.082966,0.002998,0.086039
328,0.082756,0.002923,0.085743
329,0.080888,0.003022,0.083979
330,0.079306,0.003018,0.082394
331,0.084040,0.003778,0.087898
332,0.082920,0.003115,0.086108
333,0.085607,0.003038,0.088708
334,0.092344,0.003156,0.095573
335,0.087539,0.003069,0.090674
336,0.090120,0.005404,0.095611
337,0.107538,0.003247,0.110869
338,0.090099,0.003644,0.093857
339,0.083800,0.003014,0.086885
340,0.089612,0.003932,0.093637
341,0.090312,0.003162,0.093553
342,0.079964,0.003896,0.083940
