file,read,parse,total
0,0.240719,0.036596,0.277654
1,0.557971,0.027997,0.586233
2,0.246849,0.028388,0.275480
3,0.243145,0.028341,0.271906
4,0.239022,0.027385,0.266689
5,0.226993,0.027226,0.254486
6,0.561496,0.024517,0.586248
7,0.591679,0.026736,0.618663
8,0.243245,0.030173,0.273674
9,0.179103,0.032216,0.211563
10,0.533963,0.031471,0.565786
11,0.201602,0.026216,0.228037
12,0.592832,0.026792,0.619833
13,0.966397,0.025325,0.991942
14,0.577080,0.028105,0.605408
15,0.238668,0.028627,0.267552
16,0.573463,0.030578,0.604256
17,0.168731,0.025491,0.194432
18,0.516464,0.025496,0.542175
19,0.578942,0.029906,0.609097
20,0.208920,0.024677,0.233814
21,0.101816,0.028091,0.130193
22,0.218076,0.025848,0.244145
23,1.010213,0.025589,1.036011
24,0.995190,0.026803,1.022230
25,0.588830,0.025140,0.614186
26,0.579665,0.029383,0.609353
27,0.618349,0.025466,0.644030
28,0.602717,0.025579,0.628520
29,0.239799,0.027665,0.267687
30,0.926866,0.025607,0.952691
31,0.939510,0.030764,0.970501
32,0.541371,0.031181,0.572815
33,0.601429,0.025090,0.626734
34,0.238379,0.026937,0.265560
35,0.583135,0.024844,0.608213
36,0.565869,0.024882,0.590994
37,0.229123,0.024940,0.254279
38,0.564174,0.025676,0.590064
39,0.194958,0.026592,0.221760
40,0.878672,0.026310,0.905190
41,0.242361,0.026027,0.268599
42,0.609648,0.026447,0.636325
43,0.217920,0.026320,0.244480
44,0.243466,0.025775,0.269460
45,0.607073,0.025496,0.632788
46,0.660398,0.028241,0.688890
47,0.233263,0.026501,0.259991
48,0.228025,0.026986,0.255247
49,0.583335,0.032852,0.616463
50,0.585846,0.026477,0.612568
51,0.591439,0.025553,0.617209
52,0.633495,0.025190,0.658904
53,0.976390,0.024926,1.001567
54,0.238971,0.025172,0.264426
55,0.247294,0.026195,0.273702
56,0.198680,0.025856,0.224753
57,0.587471,0.025788,0.613478
58,0.560083,0.026034,0.586325
59,0.899085,0.025914,0.925348
60,0.938677,0.031310,0.970284
61,0.234257,0.028840,0.263364
62,0.602407,0.027268,0.629927
63,0.585872,0.027422,0.613533
64,0.648735,0.027326,0.676293
65,0.232647,0.033119,0.266020
66,0.265501,0.027240,0.293164
67,0.254094,0.026172,0.280588
68,0.274251,0.025522,0.300021
69,0.201907,0.026965,0.229106
70,0.243037,0.027790,0.271148
71,0.204003,0.026073,0.230309
72,0.246324,0.030894,0.277616
73,0.592627,0.025228,0.618089
74,0.574080,0.026467,0.600799
75,0.545780,0.029848,0.576203
76,0.534249,0.027520,0.562021
77,0.600119,0.027373,0.627727
78,0.613947,0.026329,0.640503
79,0.975759,0.025945,1.001936
80,0.623832,0.028603,0.652728
81,0.904648,0.027393,0.932275
82,0.251389,0.031112,0.282725
83,0.225548,0.025113,0.250887
84,0.261020,0.027285,0.288540
85,0.532108,0.024636,0.556984
86,0.611632,0.024424,0.636280
87,0.236096,0.026952,0.263291
88,0.217194,0.027979,0.245478
89,0.245839,0.028734,0.274903
90,1.284420,0.025374,1.310025
91,0.582359,0.025911,0.608492
92,0.981101,0.025975,1.007300
93,0.587244,0.025908,0.613376
94,0.897850,0.026229,0.924307
95,1.016151,0.027014,1.043469
96,0.226732,0.034567,0.261567
97,0.181390,0.031265,0.212976
98,0.542819,0.033781,0.576986
99,0.269145,0.036537,0.306027
100,0.209531,0.025376,0.235164
101,0.605504,0.026055,0.631790
102,0.962735,0.027259,0.990240
103,0.548969,0.026235,0.575426
104,0.557620,0.026558,0.584390
105,0.571735,0.025857,0.597829
106,0.929347,0.027492,0.957094
107,0.607148,0.029251,0.636698
108,0.220874,0.026750,0.247864
109,0.905347,0.026555,0.932147
110,0.630154,0.025701,0.656094
111,0.595449,0.025325,0.621006
112,1.268401,0.026580,1.295344
113,0.557215,0.031246,0.588780
114,0.251591,0.027274,0.279135
115,0.236413,0.030192,0.266879
116,0.988699,0.024896,1.013904
117,0.604787,0.025785,0.630854
118,0.589401,0.024853,0.614551
119,0.253667,0.025254,0.279282
120,0.232354,0.025350,0.257970
121,0.576693,0.026448,0.603422
122,0.582773,0.025610,0.608661
123,0.964391,0.028131,0.992886
124,0.569566,0.026977,0.596911
125,0.224152,0.027484,0.251951
126,0.271618,0.029069,0.301116
127,0.623900,0.027855,0.652061
128,0.614681,0.028048,0.643120
129,0.248963,0.028397,0.277648
130,0.605531,0.031309,0.637169
131,0.611761,0.031659,0.643732
132,0.617818,0.026025,0.644133
133,0.557221,0.027728,0.585311
134,0.668335,0.028239,0.696938
135,0.254058,0.026579,0.280952
136,0.595700,0.028228,0.624269
137,0.606980,0.027946,0.635247
138,0.596804,0.025525,0.622598
139,0.579070,0.025584,0.604924
140,0.104695,0.027228,0.132201
141,0.508067,0.026600,0.534950
142,0.566997,0.026350,0.593657
143,0.240242,0.026727,0.267275
144,0.553556,0.026552,0.580383
145,0.539998,0.028121,0.568413
146,0.241873,0.026332,0.268473
147,1.306697,0.027481,1.334451
148,0.948159,0.031820,0.980259
149,0.590431,0.024728,0.615431
150,0.600600,0.027200,0.628168
151,0.599021,0.027392,0.626804
152,0.232085,0.026101,0.258548
153,0.640722,0.026789,0.667795
154,1.033263,0.026702,1.060232
155,0.562604,0.026515,0.589441
156,0.579823,0.026893,0.607013
157,0.525271,0.026201,0.551785
158,0.557078,0.026436,0.583797
159,0.639586,0.028640,0.668555
160,0.621396,0.026250,0.648009
161,0.659710,0.027138,0.687160
162,0.552647,0.027712,0.580674
163,0.579807,0.028393,0.608507
164,0.543748,0.031549,0.575592
165,0.534402,0.027537,0.562227
166,0.600985,0.025025,0.626312
167,0.600505,0.029055,0.629959
168,0.594865,0.026785,0.621972
169,0.608359,0.027784,0.636468
170,0.590979,0.027392,0.618653
171,0.474720,0.028357,0.503358
172,0.190707,0.027309,0.218332
173,0.246705,0.025617,0.272606
174,0.626128,0.026642,0.653110
175,0.221902,0.026651,0.248831
176,0.275522,0.026070,0.301859
177,0.238087,0.026090,0.264447
178,0.580920,0.026039,0.607255
179,0.237228,0.026810,0.264367
180,0.253545,0.028795,0.282704
181,0.271626,0.030994,0.302943
182,0.323814,0.025506,0.349620
183,0.242130,0.028770,0.271269
184,0.229885,0.026601,0.256806
185,0.493172,0.025268,0.518934
186,0.746209,0.026527,0.773035
187,0.710578,0.028373,0.739260
188,0.487271,0.027498,0.515102
189,0.665715,0.026987,0.693009
190,0.731725,0.026385,0.758390
191,0.256370,0.029193,0.285977
192,0.268329,0.027862,0.296497
193,1.130425,0.026223,1.156936
194,0.234961,0.027549,0.262792
195,0.712294,0.026175,0.738838
196,0.766059,0.027623,0.793978
197,0.298851,0.032645,0.331878
198,0.355670,0.025125,0.381071
199,0.262903,0.025502,0.288683
