file,read,parse,total
0,0.093505,0.004688,0.098286
1,0.094674,0.005591,0.100373
2,0.114247,0.004696,0.119037
3,0.109350,0.004603,0.114055
4,0.108371,0.004932,0.113401
5,0.094276,0.004953,0.099333
6,0.115790,0.005777,0.121673
7,0.099550,0.006167,0.105881
8,0.106032,0.005376,0.111508
9,0.114962,0.005726,0.120788
10,0.115945,0.006482,0.122548
11,0.103467,0.006307,0.109881
12,0.112960,0.007718,0.120891
13,0.088492,0.007190,0.095869
14,0.116451,0.006023,0.122576
15,0.114588,0.006485,0.121243
16,0.091675,0.006591,0.098389
17,0.092707,0.006596,0.099439
18,0.101220,0.005057,0.106367
19,0.093076,0.004754,0.097912
20,0.085435,0.004548,0.090099
21,0.079701,0.004898,0.084729
22,0.086344,0.004960,0.091394
23,0.081122,0.004730,0.085932
24,0.095722,0.004765,0.100572
25,0.096820,0.005592,0.102542
26,0.083219,0.004736,0.088037
27,0.097277,0.004887,0.102250
28,0.108691,0.005746,0.114543
29,0.110729,0.004786,0.115595
30,0.093800,0.005897,0.099825
31,0.087050,0.004969,0.092132
32,0.086026,0.004972,0.091091
33,0.091779,0.004853,0.096717
34,0.081953,0.004636,0.086669
35,0.071817,0.005051,0.076960
36,0.081913,0.004848,0.086844
37,0.093743,0.005067,0.098899
38,0.083079,0.007004,0.090183
39,0.084205,0.004894,0.089228
40,0.083573,0.006946,0.090617
41,0.084074,0.004931,0.089140
42,0.082148,0.004724,0.086959
43,0.105040,0.012617,0.118135
44,0.123237,0.037470,0.160987
45,0.130513,0.033143,0.163848
46,0.095229,0.006187,0.101550
47,0.094308,0.006663,0.101175
48,0.103063,0.005277,0.108449
49,0.112442,0.005465,0.118018
50,0.105564,0.005569,0.111290
51,0.095252,0.005217,0.100580
52,0.097074,0.005844,0.103047
53,0.098869,0.005090,0.104192
54,0.108549,0.005171,0.113824
55,0.103151,0.004727,0.107961
56,0.098559,0.005321,0.104033
57,0.102554,0.004683,0.107319
58,0.095909,0.004766,0.100757
59,0.067191,0.005674,0.072973
60,0.111041,0.004620,0.115751
61,0.094204,0.004655,0.098940
62,0.074794,0.004567,0.079438
63,0.097019,0.005179,0.102301
64,0.094900,0.004720,0.099709
65,0.106083,0.005122,0.111291
66,0.090184,0.005141,0.095417
67,0.096072,0.005211,0.101379
68,0.101820,0.005126,0.107038
69,0.099340,0.006725,0.106190
70,0.111340,0.005332,0.116764
71,0.096869,0.005737,0.102709
72,0.094243,0.005585,0.099941
73,0.110391,0.005386,0.115930
74,0.102190,0.005319,0.107627
75,0.101304,0.005200,0.106594
76,0.101656,0.004836,0.106603
77,0.084618,0.004835,0.089565
78,0.077028,0.005148,0.082264
79,0.085728,0.006250,0.092110
80,0.088856,0.005427,0.094400
81,0.088672,0.004908,0.093670
82,0.094328,0.034291,0.128907
83,0.130300,0.012984,0.143557
84,0.096096,0.004936,0.101149
85,0.103608,0.005123,0.108872
86,0.107687,0.005664,0.113456
87,0.098221,0.005160,0.103476
88,0.097268,0.005295,0.102664
89,0.113544,0.004714,0.118341
90,0.101480,0.005023,0.106621
91,0.077448,0.004712,0.082242
92,0.078974,0.004842,0.083916
93,0.099207,0.004844,0.104129
94,0.109899,0.004621,0.114604
95,0.103574,0.004920,0.108579
96,0.093215,0.005575,0.098909
97,0.076215,0.004882,0.081185
98,0.093760,0.005153,0.099034
99,0.090535,0.005529,0.096163
