file_count,quarter-hour,hour,day,month,year
1,1.135,0.568,0.4,0.401,0.401
2,2.27,1.136,0.8,0.802,0.802
5,5.675,2.84,2.0,2.005,2.005
10,11.35,5.68,4.0,4.01,4.01
20,22.7,11.36,8.0,8.02,8.02
50,56.75,28.4,20.0,20.05,20.05
100,113.5,56.8,40.0,40.1,40.1
200,227.0,113.6,80.0,80.2,80.2
290,329.15,164.72,116.0,116.29,116.29
452,513.02,256.736,180.8,181.252,181.252
500,567.5,284.0,200.0,200.5,200.5
665,754.775,377.72,266.0,266.665,266.665
1000,1135.0,568.0,400.0,401.0,401.0
2000,2270.0,1136.0,800.0,802.0,802.0
5000,5675.0,2840.0,2000.0,2005.0,2005.0
10000,11350.0,5680.0,4000.0,4010.0,4010.0
