janitza,read,write,total
BUT21A,0.207068,0.424332,0.631400
OLI11A,0.193751,0.363898,0.557649
SOM11A,0.195694,0.382215,0.577909
NHB21D,0.177094,0.307983,0.485077
WIL11A,0.188181,0.398945,0.587126
Koethen_INV_01_01,0.203607,0.555987,0.759594
LAA11A,0.187316,0.435252,0.622568
DEL41Z,0.205233,0.386861,0.592094
ATT21A,0.205896,0.335842,0.541738
WEN11A,0.216318,0.457843,0.674161
LAA21A,0.189453,0.314334,0.503787
POL21A,0.248441,0.493012,0.741453
WBK0241A,0.287243,0.493240,0.780483
GDL21A,0.204491,0.417607,0.622098
POP41A,0.197539,0.424216,0.621755
SDD41B,0.202008,0.398282,0.600290
NOR11A,0.188637,0.411370,0.600007
PAT11A,0.181338,0.420112,0.601450
SEB11A,0.199735,0.396631,0.596366
WIN21B,0.199502,0.422984,0.622486
TPN11A,0.206556,0.422524,0.629080
EIL11A,0.195684,0.323155,0.518839
SGA11A,0.199944,0.418890,0.618834
STA11B,0.212674,0.316958,0.529632
HVB11A,0.189075,0.415838,0.604913
SIS21A,0.196951,0.424015,0.620966
OSL21A,0.185807,0.414682,0.600489
SPA11A,0.213841,0.430478,0.644319
DOG11A,0.192224,0.407209,0.599433
NHB21A,0.196336,0.324703,0.521039
Koethen_INV_01_02,0.185705,0.331296,0.517001
SOE41A,0.183118,0.344287,0.527405
ZWS11A,0.186769,0.408230,0.594999
SAE11A,0.177176,0.318272,0.495448
UND41A,0.172687,0.319662,0.492349
HOG21A,0.212269,0.425965,0.638234
STA11A,0.205922,0.410171,0.616093
KLA11A,0.198279,0.433499,0.631778
LAU41A,0.323737,0.375482,0.699219
BRI11A,0.224965,0.346758,0.571723
OBU11B,0.194532,0.417208,0.611740
EHN41A,0.196798,0.416199,0.612997
PAW11A,0.182159,0.432972,0.615131
KMN11A,0.201560,0.440073,0.641633
COW21A,0.192157,0.422289,0.614446
WST41A,0.196746,0.438462,0.635208
GAT41A,0.205279,0.357542,0.562821
MFS11A,0.185505,0.415568,0.601073
NRU13A,0.191019,0.425518,0.616537
RAK12A,0.197225,0.349981,0.547206
OBR11A,0.200421,0.403463,0.603884
GAH11C,0.177821,0.451587,0.629408
GGT11A,0.256964,0.424859,0.681823
GOZ11E,0.195759,0.416237,0.611996
HLC11A,0.183379,0.322480,0.505859
JAR41A,0.201584,0.433110,0.634694
WFL11A,0.196056,0.335233,0.531289
LOK41A,0.205121,0.321084,0.526205
WZH11A,0.209134,0.351039,0.560173
DME41B,0.195121,0.344621,0.539742
LET41A,0.202639,0.453181,0.655820
COB11A,0.209245,0.416425,0.625670
LIB11A,0.190585,0.414158,0.604743
CAF41A,0.221112,0.428027,0.649139
Koethen_INV_03_06,0.202522,0.420324,0.622846
FIK11A,0.191122,0.441483,0.632605
LEW_AUX__Trafostation,0.218349,0.439624,0.657973
PEL11A,0.204381,0.424336,0.628717
DUR0211A,0.194079,0.431252,0.625331
DOE41A,0.207616,0.315708,0.523324
LEW21B___BESS,0.197938,0.402887,0.600825
MOL11A,0.190457,0.418599,0.609056
UND41B,0.188856,0.422318,0.611174
WSD41A,0.189460,0.353861,0.543321
HBH11A,0.200802,0.452515,0.653317
BIS21A,0.300673,0.343967,0.644640
WAL21C,0.188469,0.422095,0.610564
MLL11A,0.198760,0.434586,0.633346
LUR41A,0.201874,0.448959,0.650833
POM41B,0.195939,0.318762,0.514701
NRU11A,0.179043,0.411046,0.590089
OBN11A,0.214804,0.414291,0.629095
NRU21A,0.191496,0.405359,0.596855
WND11A,0.187761,0.323028,0.510789
LEW11A,0.199925,0.462947,0.662872
DRO41A,0.222356,0.422978,0.645334
BIT11A,0.197297,0.449227,0.646524
KOD11A,0.207132,0.419649,0.626781
MOD11A,0.209482,0.418469,0.627951
RON12A,0.188848,0.407869,0.596717
GOE11A,0.207225,0.323827,0.531052
ZHN22A,0.213336,0.433536,0.646872
CAX11A,0.202115,0.403092,0.605207
GOZ11A,0.203724,0.443040,0.646764
WDE21B,0.202317,0.428890,0.631207
WST41C,0.201515,0.429740,0.631255
NOH41A,0.209975,0.360878,0.570853
SRE11A,0.204102,0.327429,0.531531
BIE11A,0.200697,0.311476,0.512173
AGD11A,0.196932,0.412711,0.609643
