janitza,read,write,total
BIS21A,0.254413,0.509578,0.763991
ZHN22C,0.654249,0.508202,1.162451
HOG21A,0.650922,0.532076,1.182998
EHN41A,0.248188,0.589069,0.837257
EGG21D,0.611196,0.572151,1.183347
STA11B,0.236748,0.569010,0.805758
Koethen_INV_01_02,0.236252,0.575014,0.811266
FIK11A,0.612828,0.489547,1.102375
BUT21F,0.253212,0.511793,0.765005
GOZ11A,0.579765,0.570869,1.150634
MOD11A,0.596600,0.585389,1.181989
GAH11B,0.242673,0.589977,0.832650
DRO41A,0.255140,0.591581,0.846721
NRU21A,0.226841,0.513833,0.740674
GAH11C,0.606626,0.582759,1.189385
KZS0141C,0.592290,0.567063,1.159353
WEN11A,0.225958,0.589764,0.815722
LAA11A,0.595155,0.490378,1.085533
BRI11A,0.602437,0.601429,1.203866
PEL11A,0.220301,0.564895,0.785196
LEW21B___BESS,0.532776,0.601031,1.133807
MOL11A,0.554251,0.578243,1.132494
HLC11A,0.231496,0.581700,0.813196
OBS11A,0.554681,0.507336,1.062017
JAR41A,0.584635,0.600850,1.185485
SGA11A,0.234515,0.596910,0.831425
POM41B,0.275724,0.625743,0.901467
DUR0211A,0.224729,0.620085,0.844814
PAT11A,0.596232,0.595541,1.191773
UND41B,0.262423,0.506295,0.768718
MFS11A,0.233475,0.498161,0.731636
ATT21A,0.608227,0.590073,1.198300
OSL21A,0.247944,0.587113,0.835057
MOK11A,0.550185,0.591830,1.142015
SRE11A,0.610917,0.527615,1.138532
WBK0241A,0.246166,0.484994,0.731160
BRZ11A,0.592001,0.599173,1.191174
WZH11A,0.243807,0.591357,0.835164
GOZ11E,0.249754,0.700741,0.950495
NHD11A,0.604478,0.589354,1.193832
PAW11A,0.246799,0.618257,0.865056
BIE11A,0.591855,0.590944,1.182799
ERM11A,0.657165,0.578358,1.235523
COB11A,0.255171,0.605988,0.861159
SLA31A,0.246685,0.590826,0.837511
HBH11A,0.249028,0.620362,0.869390
DOE41A,0.611582,0.581400,1.192982
OLI11A,0.571434,0.617954,1.189388
AGD11A,0.259283,0.599708,0.858991
SRA11A,0.583215,0.598219,1.181434
OBS21A,0.596361,0.514070,1.110431
WFL11A,0.235579,0.564805,0.800384
EIL11A,0.233122,0.622970,0.856092
NHB21B,0.237821,0.505092,0.742913
CAX11A,0.245559,0.585529,0.831088
DOG11A,0.235646,0.612585,0.848231
GAA21D,0.621369,0.584081,1.205450
LET41A,0.611743,0.492279,1.104022
CHE11A,0.239556,0.619229,0.858785
BUT21A,0.608469,0.526643,1.135112
Koethen_INV_01_01,0.239946,0.588024,0.827970
ALT11A,0.250175,0.491959,0.742134
WCK42Z,0.609221,0.507258,1.116479
SDD41B,0.242390,0.591020,0.833410
MEW11A,0.550622,0.610921,1.161543
NRU11A,0.558897,0.638372,1.197269
HIL41A,0.235468,0.499504,0.734972
WIN21B,0.613019,0.535229,1.148248
KOD11A,0.639812,0.622732,1.262544
GRO11A,0.253425,0.509839,0.763264
SOE41A,0.248487,0.512868,0.761355
IMR41A,0.236239,0.598608,0.834847
RAK12A,0.610745,0.591256,1.202001
LUR41A,0.243003,0.497099,0.740102
BOK11A,0.252518,0.579412,0.831930
NOR11A,0.586189,0.485036,1.071225
GDL21A,0.631828,0.488102,1.119930
NES11A,0.257236,0.581584,0.838820
WAL21C,0.250900,0.593103,0.844003
Eggesin03,0.241086,0.614429,0.855515
OBR11A,0.624953,0.494744,1.119697
LAA21A,0.596168,0.490189,1.086357
WST41A,0.252981,0.562388,0.815369
SAE11A,0.263993,0.634729,0.898722
NHB21A,0.236955,0.579710,0.816665
LIB11A,0.609712,0.584762,1.194474
DUH11A,0.252515,0.598208,0.850723
DME41B,0.242304,0.632200,0.874504
ZHN22A,0.255504,0.617672,0.873176
QST41A,0.240352,0.492107,0.732459
COW21A,0.290002,0.600687,0.890689
NOH41A,0.614072,0.506185,1.120257
KMN11A,0.254178,0.570735,0.824913
ZWS11A,0.617858,0.611717,1.229575
NHB21D,0.589957,0.598506,1.188463
RON12A,0.239432,0.559888,0.799320
BIT11A,0.252696,0.601877,0.854573
GLF11A,0.258046,0.490084,0.748130
LOK41A,0.242312,0.601402,0.843714
STA11A,0.667191,0.528051,1.195242
