janitza,read,write,total
GRO11A,0.192677,0.396542,0.589219
SPA11A,0.184494,0.416334,0.600828
AGD11A,0.188359,0.406647,0.595006
GEH21A,0.202940,0.409165,0.612105
WEN11A,0.207269,0.464902,0.672171
GDL21A,0.190862,0.412725,0.603587
WBK0241A,0.212901,0.384625,0.597526
EHN41A,0.192573,0.430008,0.622581
WZH11A,0.201849,0.393222,0.595071
LAA21A,0.193763,0.409427,0.603190
LGB11A,0.205301,0.411678,0.616979
DUR0211A,0.194278,0.399155,0.593433
UND41B,0.346822,0.623768,0.970590
Koethen_INV_01_01,0.189816,0.412191,0.602007
LOZ11A,0.170574,0.282077,0.452651
RON12A,0.185867,0.332543,0.518410
CAX11A,0.206080,0.434617,0.640697
KZS0141C,0.213773,0.391848,0.605621
STA11B,0.185521,0.326045,0.511566
WAL21C,0.186384,0.357682,0.544066
ZHN22C,0.196136,0.417215,0.613351
DOG11A,0.200511,0.394478,0.594989
DOE41A,0.183799,0.304060,0.487859
EGG21D,0.193496,0.413363,0.606859
EIL11A,0.220141,0.393344,0.613485
LAA11A,0.196335,0.415023,0.611358
DUH11A,0.193294,0.425653,0.618947
BIS21A,0.202466,0.430985,0.633451
DEL41Z,0.187105,0.308635,0.495740
SOM11A,0.200564,0.412379,0.612943
POM41B,0.190027,0.395755,0.585782
BRZ11A,0.187829,0.307419,0.495248
EIS11A,0.171315,0.390067,0.561382
UND41A,0.210688,0.426358,0.637046
HIL41A,0.196464,0.342499,0.538963
GUS11A,0.189459,0.416872,0.606331
HOG21A,0.236753,0.389140,0.625893
NHB21B,0.192185,0.428378,0.620563
FIK11A,0.200980,0.424973,0.625953
MEW11A,0.205912,0.411134,0.617046
LAU41A,0.183042,0.396741,0.579783
ERM11A,0.198477,0.428065,0.626542
NOH41A,0.193399,0.326592,0.519991
POP41A,0.189640,0.393145,0.582785
OBN11A,0.199131,0.315238,0.514369
STA11A,0.206208,0.393396,0.599604
IMR41A,0.197704,0.300087,0.497791
QST41A,0.190566,0.301390,0.491956
LEW_AUX__Trafostation,0.182305,0.309473,0.491778
MFS11A,0.182056,0.415660,0.597716
NES11A,0.187235,0.421648,0.608883
Koethen_INV_03_06,0.216207,0.308308,0.524515
BOK11A,0.202307,0.314039,0.516346
PZG11A,0.186692,0.301798,0.488490
HLC11A,0.201581,0.417998,0.619579
SOE41A,0.203642,0.396793,0.600435
LEW11A,0.186481,0.414526,0.601007
SGA11A,0.190921,0.451293,0.642214
SRA11A,0.203339,0.729890,0.933229
WND11A,0.206288,0.411485,0.617773
Eggesin03,0.208349,0.421774,0.630123
WFL11A,0.209307,0.408574,0.617881
MLL11A,0.197539,0.418420,0.615959
OBU11B,0.197461,0.383123,0.580584
MOD11A,0.202093,0.324660,0.526753
ZWS11A,0.205937,0.418228,0.624165
KMN11A,0.204554,0.436505,0.641059
PAT11A,0.216291,0.413864,0.630155
NHB21D,0.209603,0.402356,0.611959
SDD41B,0.194421,0.417795,0.612216
DME41B,0.211362,0.424516,0.635878
UWE41A,0.215852,0.448774,0.664626
KLA11A,0.193169,0.430550,0.623719
HVB11A,0.213789,0.457740,0.671529
GOE11A,0.226604,0.409880,0.636484
PEL11A,0.234528,0.351060,0.585588
BIE11A,0.191568,0.407980,0.599548
BRE0141C,0.218925,0.368292,0.587217
DRO41A,0.210345,0.419195,0.629540
GAA21D,0.202339,0.316681,0.519020
WCK42Z,0.207460,0.459875,0.667335
GOZ11E,0.213700,0.403196,0.616896
LEW21B___BESS,0.200532,0.303652,0.504184
POL21A,0.217830,0.412311,0.630141
LET41A,0.200618,0.393924,0.594542
NOR11A,0.197942,0.405247,0.603189
MOL11A,0.191288,0.312466,0.503754
GOZ11A,0.185782,0.432295,0.618077
SAE11A,0.196787,0.416203,0.612990
NRU13A,0.215005,0.437111,0.652116
CAF41A,0.202856,0.443715,0.646571
SEB11A,0.201119,0.459085,0.660204
SIS21A,0.211712,0.454585,0.666297
KOD11A,0.214477,0.457049,0.671526
WIN21B,0.222853,0.452858,0.675711
MOK11A,0.224562,0.359081,0.583643
PDR41A,0.213022,0.361259,0.574281
JAR41A,0.226396,0.442469,0.668865
WIL11A,0.210039,0.446755,0.656794
NRU21A,0.203132,0.435253,0.638385
