janitza,read,write,total
RAK12A,0.177049,0.315017,0.492066
GEH21A,0.176894,0.298006,0.474900
EIS11A,0.205957,0.394878,0.600835
WIL11A,0.186347,0.434413,0.620760
LAA21A,0.202862,0.446142,0.649004
NRU13A,0.198771,0.422024,0.620795
HVB11A,0.218214,0.351318,0.569532
BRI11A,0.218707,0.437292,0.655999
OBU11B,0.204088,0.424203,0.628291
WST41C,0.201413,0.407092,0.608505
LOK41A,0.345549,0.417287,0.762836
SDD41A,0.207347,0.456672,0.664019
BIS21A,0.207009,0.322036,0.529045
Eggesin03,0.210634,0.424094,0.634728
EHN41A,0.207367,0.414489,0.621856
NHB21D,0.215693,0.406597,0.622290
BRZ11A,0.204781,0.418992,0.623773
COW21A,0.213116,0.326938,0.540054
EIL11A,0.201681,0.430124,0.631805
WDE21B,0.192032,0.397885,0.589917
KOD11A,0.186530,0.390314,0.576844
SRE11A,0.189407,0.411638,0.601045
QST41A,0.192959,0.400154,0.593113
TPN11A,0.201739,0.443088,0.644827
LUR41A,0.198468,0.298528,0.496996
SPA11A,0.194007,0.492279,0.686286
NHB21B,0.205711,0.440594,0.646305
DOR211A,0.203104,0.406232,0.609336
LAA11A,0.207907,0.497047,0.704954
HLC11A,0.187126,0.426623,0.613749
WIN21B,0.196662,0.439368,0.636030
POP41A,0.194281,0.419224,0.613505
CAF41A,0.198578,0.413937,0.612515
WCK42Z,0.284753,0.362237,0.646990
IMR41A,0.198785,0.422521,0.621306
BIE11A,0.233942,0.374044,0.607986
WND11A,0.212466,0.383915,0.596381
UWE41A,0.192693,0.430438,0.623131
CAX11A,0.262994,0.399390,0.662384
LEW21B___BESS,0.205633,0.419858,0.625491
GOE11A,0.205953,0.428975,0.634928
DME41B,0.208706,0.352242,0.560948
SGA11A,0.194661,0.424115,0.618776
DOE41A,0.195252,0.315715,0.510967
OLI11A,0.214506,0.421855,0.636361
GAT41A,0.215300,0.405155,0.620455
EGG21D,0.200633,0.419615,0.620248
MOD11A,0.219796,0.456937,0.676733
MEW11A,0.201055,0.373870,0.574925
GRO11A,0.198318,0.411668,0.609986
WBK0241A,0.196135,0.427078,0.623213
GOZ11E,0.207820,0.415817,0.623637
MOL11A,0.199280,0.422879,0.622159
SIS21A,0.206879,0.333275,0.540154
DUH11A,0.198511,0.501822,0.700333
ATT21A,0.189433,0.310501,0.499934
SRA11A,0.266572,0.428915,0.695487
KMN11A,0.214969,0.333241,0.548210
PAW11A,0.206757,0.438336,0.645093
NHB21A,0.227437,0.416508,0.643945
GOZ11A,0.195283,0.424682,0.619965
STA11A,0.206227,0.314544,0.520771
UND41B,0.209777,0.434819,0.644596
HOG21A,0.214177,0.413365,0.627542
NRU11A,0.198957,0.429929,0.628886
WZH11A,0.194290,0.408368,0.602658
SDD41B,0.206026,0.430457,0.636483
COB11A,0.200014,0.319187,0.519201
BUT21A,0.192591,0.311867,0.504458
ZWS11A,0.204876,0.399508,0.604384
PAT11A,0.224694,0.421420,0.646114
PEL11A,0.212479,0.404123,0.616602
WAL21C,0.197107,0.393876,0.590983
STA11B,0.219740,0.437856,0.657596
JAR41A,0.189322,0.418777,0.608099
LAU41A,0.198589,0.323067,0.521656
SAE11A,0.209305,0.395661,0.604966
WSD41A,0.189695,0.311174,0.500869
CHE11A,0.204759,0.425110,0.629869
GDL21A,0.214860,0.434611,0.649471
ATZ11A,0.218043,0.426491,0.644534
SOE41A,0.224693,0.408376,0.633069
LEW_AUX__Trafostation,0.230321,0.435983,0.666304
PDR41A,0.205780,0.317533,0.523313
HIL41A,0.225933,0.309132,0.535065
KZS0141C,0.219072,0.404061,0.623133
NOR11A,0.195469,0.319382,0.514851
SOM11A,0.199240,0.417324,0.616564
FIK11A,0.202949,0.402398,0.605347
DOG11A,0.198823,0.417351,0.616174
DEL41Z,0.197194,0.399153,0.596347
MFS11A,0.213691,0.513615,0.727306
DUR0211A,0.200947,0.328628,0.529575
GGT11A,0.204715,0.427395,0.632110
ZHN22A,0.191553,0.407277,0.598830
POL21A,0.215534,0.425117,0.640651
LGB11A,0.207305,0.430613,0.637918
WEN11A,0.189329,0.426624,0.615953
BIT11A,0.182207,0.308159,0.490366
GAA21D,0.225675,0.423484,0.649159
